Weight,Name
87,Homebrew/homebrew
86,nodejs/io.js
34,ipython/ipython
51,elastic/logstash
82,6to5/babel
234,jspm/jspm-cli
72,driftyco/ionic
12,chef/chef
35,ember-cli/ember-cli
7,pouchdb/pouchdb
7,SpongePowered/SpongeForge
12,elastic/elasticsearch
20,odoo/odoo
19,strongloop/loopback
81,balderdashy/waterline
7,meteor/meteor
11,ros/rosdistro
10,18F/hub
27,ansible/ansible-modules-extras
15,projecthydra-labs/hydra-works
20,mapbox/mapbox-gl-native
11,swagger-api/swagger-ui
16,Geoportail-Luxembourg/geoportailv3
9,scijava/scijava-common
12,sgmap/mes-aides-api
3,Leaflet/Leaflet
5,ros/ros_comm
4,liqd/adhocracy3
4,cucumber/cucumber-ruby
6,sul-dlss/triannon
156,UKDemocracyOS/app
4,theforeman/puppet-foreman
17,inveniosoftware/invenio
26,UV-CDAT/uvcdat
11,libreio/libre
13,edx/edx-platform
44,aspnet/Home
30,swcarpentry/workshop-template
7,mozilla/fxa-content-server
11,rapid7/metasploit-framework
6,couchbase/couchbase-lite-android
6,jhipster/generator-jhipster
2,tomchristie/django-rest-framework
12,uProxy/uproxy
8,mitsuhiko/flask
4,postcss/postcss-import
4,Connexions/cnx-publishing
4,SciTools/iris
2,osiam/resource-server
29,Graylog2/graylog2-web-interface
5,ros2/rclcpp
9,caskroom/homebrew-cask
13,cms-sw/cmssw
7,divio/djangocms-text-ckeditor
9,getlantern/lantern-java
4,xbmc/xbmc
3,rock-core/tools-orocosrb
4,ros-industrial/universal_robot
3,fedora-infra/fedmsg_meta_fedora_infrastructure
6,samtools/htsjdk
5,MozillaFoundation/plan
12,hbz/lobid
6,cfpb/hmda-rule-engine
6,rom-rb/rom
28,cyclus/cycamore
4,Azure/azure-xplat-cli
127,nu7hatch/gmail
7,geneontology/noctua
3,chef/chef-provisioning-docker
2,shinken-monitoring/mod-webui
4,znc/znc
5,tue-robotics/tue_robocup
5,getnikola/nikola
2,spmjs/spm
2,rake-compiler/rake-compiler
2,gonum/matrix
4,js-data/js-data-angular
3,crowbar/barclamp-provisioner
22,dogecoin/dogecoin
6,robovm/robovm
2,dib-lab/khmer
3,openstreetmap/openstreetmap-website
1,AmpersandJS/examples
5,Qabel/qabel.github.io
3,jsxc/jsxc
2,lxde/lxqt-sudo
11,UnifiedViews/Core
2,noflo/noflo-ui
4,OnroerendErfgoed/atramhasis
10,facebook/hhvm
2,dominictarr/crypto-browserify
6,firedrakeproject/firedrake
2,scikit-beam/scikit-beam
3,travis-ci/travis-build
7,numenta/nupic.core
2,blaze/blaze
5,HSLdevcom/OpenTripPlanner
2,syncany/syncany-plugin-s3
1,ReactiveX/RxJava
4,aws/aws-cli
24,NSLS-II/dataportal
4,CloudSlang/cloud-slang
6,bem/bem-core
3,CodeClub/scratch-curriculum
2,JSRocksHQ/jsrockshq.github.io
4,mozilla/webmaker.org
8,pelias/api
4,autotest/tp-libvirt
1,pyfarm/pyfarm-master
4,ipa320/cob_robots
4,ament/ament_tools
14,mopidy/mopidy
11,nlbdev/nordic-epub3-dtbook-migrator
2,interagent/pliny
2,open-keychain/open-keychain
10,NetLogo/Tortoise
2,mozilla-services/readinglist
2,SecUpwN/Android-IMSI-Catcher-Detector
38,NativeScript/cross-platform-modules
27,CocoaPods/CocoaPods
1,robotology/yarp-wholebodyinterface
3,TerriaJS/terriajs
2,jch/html-pipeline
1,boxen/puppet-git
3,Kitware/flow
4,PX4/Firmware
3,DroidPlanner/Tower
15,ethereum/go-ethereum
5,Imroy/pubsubclient
10,rethinkdb/rethinkdb
6,project-rig/nengo_spinnaker
4,ros2/rosidl
6,mila-udem/blocks-extras
5,google/error-prone
3,dbcli/pgcli
2,brooklyncentral/clocker
5,bndtools/bnd
2,Zarel/Pokemon-Showdown-Client
2,yuya-takeyama/db2yaml
14,openhealthcare/elcid
6,rancher/ui
