Id,Weight,Name,Language
26494782,1,AmpersandJS/examples,JavaScript
22873447,4,Qabel/qabel-core,Java
1632976,1,enthought/pyface,Python
24474126,19,ansible/ansible-modules-core,Python
17084864,1,meanjs/generator-meanjs,JavaScript
488514,3,bundler/bundler,Ruby
19354917,1,iStefo/ember-select-2,JavaScript
7804910,8,Polymer/docs,HTML
7961991,1,square/javapoet,Java
24400684,19,FAForever/client,Python
25841126,1,FAForever/server,Python
26715792,1,techhat/linguist,Ruby
4637221,8,powerline/powerline,Python
1287859,25,ceylon/ceylon-compiler,Java
24946152,2,fedora-infra/the-new-hotness,Python
28671602,3,mde/ejs,JavaScript
17620347,44,aspnet/Home,PowerShell
2055965,11,swagger-api/swagger-ui,JavaScript
299862,5,nltk/nltk,Python
3769702,5,translate/pootle,Python
23407526,1,ianmartorell/meteor-accounts-ui-bootstrap-3,JavaScript
17049596,1,cocos2d/cocos2d-js,C++
15337722,2,kadirahq/fast-render,JavaScript
1332134,1,remiprev/teamocil,Ruby
16665655,9,jtangelder/sass-loader,JavaScript
12256376,72,driftyco/ionic,JavaScript
26096505,1,sandraor/website,HTML
24664810,1,meteor-velocity/nightwatch-framework,JavaScript
25252102,2,diaspora/jsxc,JavaScript
12048721,2,SleepyTrousers/EnderIO,Java
15901046,3,jsxc/jsxc,JavaScript
14125254,3,hashicorp/consul,Go
8710734,3,elastic/elasticsearch-hadoop,Java
28834044,1,cloudvox/faraday,Ruby
17950592,3,js-cli/js-interpret,JavaScript
507,1,sferik/twitter,Ruby
1725199,7,github/linguist,Ruby
3631697,20,tsuru/tsuru,Go
17089728,3,syncthing/syncthing-android,Java
9528819,1,getlantern/www.getlantern.org,JavaScript
1254497,5,codemirror/CodeMirror,JavaScript
22187098,1,RReverser/acorn-jsx,JavaScript
695611,1,etianen/django-reversion,Python
19006435,1,meteor-useraccounts/core,JavaScript
10642675,4,ros-industrial/abb,C++
4423776,2,dmwm/CRABServer,Python
2006302,3,Slicer/Slicer,C++
2932773,5,camptocamp/c2cgeoportal,Python
24669372,16,Geoportail-Luxembourg/geoportailv3,JavaScript
1784628,3,rails/sprockets-rails,Ruby
1217614,4,xbmc/xbmc,C++
4007018,4,Katello/katello,Ruby
13753636,6,jhipster/generator-jhipster,JavaScript
7212432,2,MachineMuse/MachineMusePowersuits,Java
20004472,2,lxde/lxqt-admin,C++
5282596,4,SciTools/cartopy,Python
21388550,4,OCA/maintainer-quality-tools,Python
5216282,3,networkx/networkx-website,Python
10270250,9,facebook/react,JavaScript
15045751,26,docker/compose,Python
23487443,1,fog/fog-sakuracloud,Ruby
17327535,2,jekyll/jekyll-sitemap,Ruby
46939,1,django-debug-toolbar/django-debug-toolbar,Python
585285,2,gollum/gollum,JavaScript
16688238,11,UnifiedViews/Core,Java
18219900,6,rapid7/metasploit-credential,Ruby
27433386,5,tue-robotics/tue_robocup,Python
2293158,11,rapid7/metasploit-framework,Ruby
4262493,19,ilastik/ilastik,Python
52287,2,collectiveidea/delayed_job,Ruby
18453077,1,planetguy32/RemainInMotion,Java
734934,5,pugjs/jade,JavaScript
65252,5,jekyll/jekyll,Ruby
128476,2,bndtools/bndtools,Java
23206290,5,google/error-prone,Java
20260834,1,rock-core/gui-rock_widget_collection,C++
20260602,1,rock-core/gui-vizkit,Ruby
16630147,1,couchbase/couchbase-lite-java,Java
1390248,11,saltstack/salt,Python
380961,3,desandro/masonry,JavaScript
3662176,4,hpcugent/easybuild-framework,Python
641512,3,openstreetmap/openstreetmap-website,Ruby
9615328,1,gonum/blas,Go
911765,2,diaspora/diaspora,Ruby
12892263,2,noflo/noflo-ui,HTML
1284185,4,andrewrk/mineflayer,JavaScript
4723248,3,openlayers/ol3,JavaScript
12204593,1,pyfarm/pyfarm-core,Python
11667865,5,reactjs/react-rails,JavaScript
19614228,2,js-cli/js-v8flags,JavaScript
18065797,1,Textalk/angular-schema-form,JavaScript
14562056,4,driftyco/ionic-cli,JavaScript
8514,24,rails/rails,Ruby
212862,4,refinery/refinerycms,Ruby
24894912,1,logstash-plugins/logstash-filter-metrics,Ruby
7477865,4,wesleytodd/YeoPress,JavaScript
11116372,2,keystonejs/keystone,JavaScript
10822741,7,imagej/imagej-omero,Java
14474326,1,octopress/octopress,Ruby
758079,4,mapbox/tilemill,JavaScript
22700458,4,syncthing/syncthing-gtk,Python
2165383,1,sunpy/sunpy,Python
24254047,2,switchfly/ember-mocha,JavaScript
7673810,1,koenedaele/pyramid_skosprovider,Python
447184,12,rspec/rspec-rails,Ruby
17728164,6,hashicorp/terraform,Go
11396385,14,swcarpentry/site,HTML
890377,5,networkx/networkx,Python
1142976,2,ipa320/cob_driver,C++
80571,3,fatfreecrm/fat_free_crm,Ruby
13575283,1,PocketRent/hhvm-pgsql,C++
1312351,1,bio4j/bio4j,Java
10399273,2,geoadmin/mf-geoadmin3,JavaScript
11581452,1,theforeman/hammer-cli-foreman,Ruby
20558462,3,OCA/OCB,Python
6486826,5,hrydgard/ppsspp,C++
16819795,2,mozilla/fxa-oauth-server,JavaScript
3781859,3,shawnbot/aight,JavaScript
16523688,2,mozilla/fxa-profile-server,JavaScript
946945,3,jquery/globalize,JavaScript
5017825,2,jquery/download.jqueryui.com,JavaScript
4197769,1,berkshelf/berkshelf,Ruby
13653550,1,Katello/hammer-cli-katello,Ruby
4210958,1,burtlo/ark,Ruby
25136308,1,github/fetch,JavaScript
308770,3,plataformatec/devise,Ruby
19360616,18,docker/swarm,Go
4989235,3,openstreetmap/iD,JavaScript
21397581,2,reflux/refluxjs,JavaScript
12225546,1,pouchdb/express-pouchdb,JavaScript
6296790,4,spring-projects/spring-boot,Java
14238949,3,elastic/elasticsearch-rails,Ruby
9831101,3,elastic/elasticsearch-ruby,Ruby
5710848,2,TelescopeJS/Telescope,JavaScript
2300694,3,hacken-in/website,Ruby
390510,1,benoitc/gunicorn,Python
560495,2,jsdoc3/jsdoc,JavaScript
23403252,6,18F/dashboard,JavaScript
10045175,2,strongloop/strong-remoting,JavaScript
17053199,6,boot2docker/boot2docker-cli,Go
28257573,3,flarum/core,JavaScript
931135,3,Leaflet/Leaflet,JavaScript
596892,8,mitsuhiko/flask,Python
12136863,4,btcsuite/btcwallet,Go
11446601,2,shinken-monitoring/mod-webui,JavaScript
1385122,4,matplotlib/matplotlib,Python
22321368,8,andrewgaul/s3proxy,Java
22507007,8,TeamMentor/TM_4_0_Design,HTML
4090287,5,paulmillr/chokidar,JavaScript
28061676,11,yannickcr/eslint-plugin-react,JavaScript
8629417,6,mapbox/mapbox-gl-js,JavaScript
4255988,2,tsuru/gandalf,Go
2331534,2,alphagov/frontend,Ruby
22002058,2,sourcegraph/srclib,Go
1252,1,lsegal/yard,Ruby
