Source,Target,Weight
203666,28643625,27
25126616,16241224,2
15171934,3623050,1
24560307,5932749,21
2935735,4591033,11
9461481,28366058,22
25537901,25538333,1
4025121,16851127,2
10969551,8711353,5
24560307,13346571,11
1857825,2410676,2
11421378,167174,3
11421378,3955647,2
8843683,1787757,1
671825,729744,12
17784299,21548299,1
206084,26992831,1
9530789,9325315,1
9325315,9530789,3
1801829,2649031,3
11808187,5187096,1
588600,71019,2
9461481,7691631,3
11589713,9461481,2
11778024,16819795,2
714074,14663768,2
14159669,3623050,6
19294390,9029977,1
21357099,321278,1
2081289,14448779,8
10707658,16297763,5
27022174,2476855,2
8569918,9615328,2
606956,128476,5
28366058,7691631,12
7786818,3038446,2
17752746,3016562,2
22521888,10616272,2
238972,13347640,5
13512328,11225014,1
104937,27,1
15601851,23899906,4
2351391,2351384,1
108278,15090814,2
14981376,1181927,22
2014929,1385122,1
9403933,23198783,1
8962829,14169882,16
24835467,22187098,1
5710178,5710341,2
843222,654608,7
27193779,3342055,11
9265294,206084,1
1446467,2410676,4
10969551,12296490,4
8271291,14204295,4
27494663,206084,2
321278,4580780,4
658518,1254497,2
26399616,26119962,1
7691631,23096959,6
23096959,7691631,1
7691631,20580498,2
2893713,108278,2
26992831,206084,1
13739356,10037542,8
28155823,18023059,3
24336212,25104780,1
1090311,24894912,3
729744,671825,26
27494663,7691631,5
11167738,28062827,5
11617504,11924873,3
238972,363387,1
5721837,1419138,1
28669836,17301522,3
238972,1252,1
7099729,2163263,3
5373551,7480345,1
168370,722201,2
589584,616448,1
12244838,4331833,1
3447593,22942790,1
1402936,4090287,1
7691631,15693680,19
21779020,3678731,2
3557653,2968000,3
20580498,7691631,10
11412473,14238949,1
2751199,2752522,2
1090311,168370,6
20929025,321278,1
5048251,641512,1
14204295,12584841,1
28758778,1362490,1
14225208,21449162,7
23810532,9325315,1
3198415,2228226,1
6862780,143580,6
20580498,15693680,1
9534760,3214406,2
26494782,17815037,1
22873447,21129265,1
1632976,658518,1
24474126,3638964,9
7691631,9461481,6
488514,614070,2
11452644,9996255,1
19354917,3620194,1
7961991,7968417,1
24400684,25841126,1
26715792,1725199,1
28671602,734934,1
17620347,14225208,3
2055965,19390712,1
2055965,20905275,1
23407526,3214406,1
17049596,1093228,1
1332134,1157388,1
16665655,929845,1
16665655,3319769,2
24664810,3214406,1
25252102,15901046,1
12048721,7760890,1
15901046,25252102,2
8710734,507775,3
