Source,Target,Weight
22993377,22660201,2
25811020,1390248,2
36519040,35563024,11
15350898,36837280,4
31046054,7691631,17
447036,206084,1
14119537,10066825,1
24891661,38434858,5
16286131,2203645,3
19939216,16384837,3
36817565,35210580,17
206084,4106792,12
34133681,7804910,1
36420691,714074,1
20884782,8556864,3
16523688,11778024,1
27727916,23096959,1
447184,238972,2
20580498,7691631,19
1084114,19504824,1
363387,238972,1
12146969,20775600,7
12888993,38982731,4
11061773,31404632,2
11061773,24560307,2
11778024,32033179,2
24560307,8962829,1
32655656,23770421,1
35210580,36817565,2
943149,37559299,4
9934972,6296790,1
9996255,22395078,3
22442668,20580498,56
2296970,1283503,1
15693680,36960321,2
24777832,22878143,1
7551773,25033964,1
11167738,16415622,2
4268140,1424470,3
658518,33655518,3
20775600,12146969,6
658518,33653601,18
33744138,15836199,41
4875730,8629417,1
6093316,20929025,9
31790386,20929025,2
36960293,36960321,26
26109545,23096959,1
65252,11980558,1
33653652,32897150,1
19387849,14135470,2
29250115,2081289,2
1549395,3195124,1
11658016,21242339,1
12590126,28924109,1
8739960,465681,1
7691631,36960321,23
17958761,21915931,3
18128548,7691631,3
7691631,17053199,1
10035842,9568894,2
24871990,32940722,2
1385122,2081289,1
29882262,21273155,1
21273155,29882262,1
9018691,10851820,2
4468112,206084,1
27888295,4000279,7
2983241,7251076,2
18113139,2081289,2
36960321,15693680,1
11589713,20580498,2
143580,286516,3
35294259,10697582,5
24516568,6248645,7
32403967,12791642,4
11589713,23096959,1
26805193,19036577,1
34927706,22737329,4
37219287,2665618,2
13347640,238986,2
20390951,16522983,2
28366058,7691631,9
4493652,6804324,1
10067157,9996255,1
14562056,19076737,2
31089468,25104780,1
31404632,11061773,3
34082421,5532320,2
18388099,5710341,1
23774298,23770421,2
8043756,38388440,83
35573790,34105868,1
11753734,19008038,2
8411137,8432681,5
1520275,614070,1
25126616,16241224,1
16819795,11778024,1
2081289,14448779,12
27051771,23096959,1
22584039,2055965,1
21357099,3016562,1
24657821,39211337,88
35648870,34870728,1
6059135,6059122,1
31315021,30921526,3
34357801,34340650,1
2183193,1103054,1
734934,36683926,4
15355019,11167738,2
24195339,32405591,1
33791453,23770421,5
184460,735498,1
29891188,35520634,1
7586424,9996255,3
16688238,16691792,1
33112318,16691792,2
4025121,16851127,2
16665655,4128353,2
9085509,3731016,1
19716234,22766581,1
13753636,2055965,1
12977854,9384267,1
11344473,27200766,2
2935735,17085014,2
3346602,1424470,2
2665618,37462194,1
35978199,31315021,3
10064545,27788951,4
10064545,14169882,4
10064545,27804716,8
10064545,27783162,4
10064545,27828339,5
10064545,25003905,1
24871990,3867127,1
29620400,16241224,1
321278,19872239,2
2968000,3557653,8
21347346,31492490,9
22355214,35120039,1
108278,17303641,1
11225014,13512328,1
14120618,35310228,1
5569059,22355214,1
21386310,16688238,1
11939484,206084,1
641512,4989235,1
6093450,263379,2
22641745,24560307,1
2165383,11935993,1
4037197,19832415,3
27466453,2750721,2
10664,10453695,3
12915119,488514,2
29137950,31492490,2
22789601,11233996,2
11803168,11855195,3
2014929,1446467,1
7921466,3606738,1
33750123,9309093,1
108278,4056288,2
10453695,10664,1
1549395,33644564,2
24984705,22873447,2
30292357,1946622,3
7691631,23059575,1
27089359,7512484,1
36934428,529502,1
19390712,2006876,9
13617177,12418999,1
32024077,8962829,1
9996255,8486799,2
23774298,33791453,6
20580498,6838921,2
35098176,27788951,1
17163720,931135,2
17592572,16174770,2
10431493,8587669,1
25185119,14712850,1
3308958,4973784,1
729744,671825,13
206084,9214768,12
18525395,7530570,1
26845993,16665655,2
36388645,29028775,1
36388645,3214406,2
20580498,20653934,5
20580498,23272510,3
640534,3659275,2
8962829,19843509,4
12445598,3016562,8
21501000,21500952,16
15111821,13124802,3
6578551,8100172,2
1217831,23096959,1
31404632,24560307,1
28353322,31046054,2
238983,363387,3
143580,12442243,2
24325875,16746795,1
30091667,7691631,1
19323986,13124802,1
16691792,16688238,4
34927908,30388450,2
5532320,34129761,1
5405654,29028775,1
21665489,5532320,1
1451352,8962829,1
11855007,11855195,3
4000279,27888295,24
13599100,25003905,2
1801829,8921879,1
7411076,4095287,1
9824738,8863313,4
20460946,9325315,1
3606738,7921466,2
909933,3314,2
28366058,9461481,1
11290232,11225014,1
2081289,2165383,1
34007042,39648183,3
16416867,1441734,2
34752262,6093316,1
3214406,15728293,1
3342055,321278,2
18188537,7512484,2
37785462,7691631,1
7833168,507775,4
6287880,2725544,1
11635422,34105868,2
35563024,24871990,9
17762549,15388290,1
33354438,6804779,1
34104801,11167738,1
32112284,5532320,1
11589713,9461481,2
29094509,7177096,1
32940722,24871990,1
22737337,22737329,2
33052709,4137249,1
9887009,12359519,1
23404839,27494663,2
34496016,27804716,9
36754446,26235440,2
30840755,10126908,3
17155108,1090311,2
19843509,12716501,1
12256376,14562056,13
3720567,108278,1
24636789,1090311,6
10064545,32024574,1
23984796,20785986,1
5266,8514,1
15510373,15510233,7
21129265,22873447,1
5786856,2310495,1
36837280,15350898,1
4669064,873328,1
5312648,5282596,1
22137709,15510233,1
38506271,8271291,1
9996255,10067157,2
14430294,39073784,1
12387090,33653601,1
32333558,12499251,1
36535156,22046023,1
22442668,20653934,3
35563024,36519040,3
20882845,19745004,2
206084,4129065,1
15045751,7691631,1
7691631,28366058,7
16963741,14241623,1
28981606,22023776,1
39586144,3301400,1
529502,1446467,1
10851820,29455960,5
2055965,19390712,2
19076737,9207280,2
19360616,27494663,4
29561893,20929025,5
33147927,3214406,1
19501047,19076737,1
31492490,21347346,24
22442659,7691631,1
14216341,13124802,1
15111821,4254338,1
747698,167174,1
15510233,15510373,2
7691631,19360616,5
33352201,27051771,2
7994556,24833922,2
25471131,1090311,2
993110,6547965,1
23096959,30325550,2
11980558,65252,1
31340566,7691631,1
1507818,35312458,1
29268051,4128353,1
31795422,15062869,2
858127,1844194,1
6838921,20580498,2
2916712,507775,3
20317364,931039,3
7691631,31340566,1
16665655,26845993,1
17085014,2935735,1
2931111,4330620,5
16851127,4025121,1
11855195,11803168,1
23116127,25273785,5
10908696,1039520,1
206084,501687,1
21203040,21388550,1
24871990,35563024,4
9461481,7691631,1
2625205,21273155,2
34935988,12048721,1
34935988,25837286,1
34935988,4039952,1
238983,238972,2
238986,238972,2
12359519,9887009,1
15846674,11061773,4
2165383,2081289,2
33898786,34429296,1
21290287,6182775,1
29097304,27654303,1
2031640,43371,1
4723248,1200050,1
27193779,6498492,1
206084,3483944,8
36777614,14089735,1
37852852,3214406,1
24829371,1103054,1
11461524,21184808,1
4723248,16501535,1
32542838,11061773,3
2665618,37219287,1
15233168,32885727,1
18045013,1200050,1
4106792,206084,5
8629417,16286131,3
19360616,37093142,1
5532320,34429296,2
34429296,35520464,1
19292203,2067253,2
6235174,16008423,1
30682536,7691631,3
18399519,23540628,1
5568076,5672873,1
16286131,8629417,3
3483944,206084,1
3731016,9214768,1
2129739,15062869,1
36843396,10755256,1
17386215,34068092,1
17163720,3606738,1
7691631,27494663,5
27200766,25008788,31
16384837,19939216,1
26050796,9996255,3
14410778,13124802,1
26509369,29600667,1
28430308,6344602,3
23272510,20580498,5
30985840,3314,2
25691817,6094683,2
36960293,28366058,1
14895592,23404839,2
11002815,858127,2
5108029,5108051,1
7691631,31046054,16
19383624,1390248,3
19816973,15830664,1
27776551,65252,1
11589713,7691631,8
29946971,32774942,1
4110016,25274085,1
7613257,25993378,1
34757137,24560307,1
1103054,2183193,1
25838887,12467623,1
21909749,22737333,2
770744,488514,2
38982731,12888993,2
841835,1446467,1
25738703,19008038,1
14089735,321278,3
34132554,34429296,1
107872,27,2
37931301,4128353,1
4704710,1460385,1
26063680,26063644,1
5801666,1446467,1
108278,14132156,1
557980,13527761,1
29943859,16286131,1
238972,13347640,3
321278,3342055,1
34122184,9896583,2
1211978,9384267,1
507775,2916712,3
19832415,4037197,5
31409916,22442668,2
6762869,1844194,4
26509369,7691631,1
9061947,481872,2
25003905,5532320,2
5532320,33507463,10
33653575,658518,1
286516,143580,1
13078968,22498444,1
10270250,11061773,1
610292,8100172,1
24474138,24474126,2
18399519,29688210,1
21500952,21501000,5
24474126,3638964,14
20235625,6506651,1
3319769,929845,3
1362490,2410676,11
24700171,11730342,1
33644564,1549395,1
14225208,16185172,3
9214768,206084,4
24829371,35648870,3
16691792,33112318,1
27024702,23770421,1
24560307,16328098,1
12256376,19716234,1
31790386,29694418,1
5532320,7804910,19
5532320,34276372,1
658518,33653617,1
13779937,6604361,1
10247874,7691631,2
38896202,19018601,1
36190323,6498492,1
27729907,27729926,1
37385246,596892,1
37385246,997338,1
16691792,21386310,1
21386310,16691792,3
13512328,11225014,1
25033964,7551773,2
28155823,18023059,3
37288886,20580498,1
37382858,488514,1
34876145,22736886,1
20882845,21388550,1
21216322,4909355,1
24419942,9996255,1
18135369,3807749,1
28283593,26516210,5
23165881,41384605,1
29923031,7357595,4
29298494,6094683,3
23284838,6905963,1
11187998,15426083,1
9750588,15901046,1
29891188,29942808,1
36895421,33653601,1
18402447,8629417,2
34122335,3867127,1
3678731,16665655,1
24773848,40233846,34
9996255,9139165,3
14225208,17620347,3
34693515,2081289,13
30081813,23096959,2
28627094,22442668,2
33148320,39923176,6
27193779,16386099,1
18399519,22137709,1
23540628,18399519,4
15241331,501687,1
7691631,23096959,4
32024574,27788951,5
