Weight,Name
946,golang/dep
26,semantic-release/semantic-release
33,conda/conda
71,nodejs/node
486,hashicorp/terraform
66,angular/angular-cli
375,Microsoft/vscode
42,oknosoft/windowbuilder
43,ManageIQ/manageiq-ui-classic
52,babel/babel-preset-env
38,w3c/web-animations
11,ros2/demos
12,astropy/astropy
13,trufflesuite/ganache-cli
11,CyclopsMC/IntegratedDynamics
12,eclipse/smarthome
7,travis-ci/travis-cookbooks
57,zcash/zcash
13,scylladb/scylla
8,EnMasseProject/routilities
27,syndesisio/syndesis-ui
10,kiwix/kiwix-xulrunner
21,SeleniumHQ/selenium
36,home-assistant/home-assistant
6,validator/validator
17,vector-im/riot-web
4,wpilibsuite/ntcore
21,mapbox/mapbox-gl-native
28,dssg/architect
20,poldracklab/fmriprep
94,NativeScript/NativeScript
8,chainer/chainer
8,zooniverse/edu-api-front-end
7,spdx/spdx-spec
8,ipa320/cob_robots
10,exercism/python
7,aframevr/aframe
27,LLK/scratch-gui
11,tootsuite/mastodon
3,nfarina/homebridge
5,fantasyland/fantasy-land
12,getgauge/gauge
13,strongloop/loopback-datasource-juggler
7,TerriaJS/nationalmap
2,kiegroup/jbpm-wb
15,roboticslab-uc3m/kinematics-dynamics
4,jekyll/jekyll-sitemap
34,scality/S3
4,ionic-team/stencil
10,cBioPortal/cbioportal
15,opendatakit/collect
6,vaadin/framework
5,probot/probot
3,boostorg/thread
9,hasgeek/baseframe
11,rstudio/keras
32,trilinos/Trilinos
6,webdriverio/webdriverio
4,SpiNNakerManchester/sPyNNaker
3,buildbot/buildbot
5,PX4/Firmware
5,tue-robotics/tue_robocup
4,bitpay/copay
6,opencv/opencv
6,IATI/IATI-Codelists
4,edx/edx-proctoring
4,nextcloud/contacts
4,aurelia/templating
11,citra-emu/citra-web
4,convexengineering/gpkit
11,Esri/military-features-data
1,pharmer/pharmer
30,OPM/opm-simulators
13,HBRS-MAAS/project-awesomebakery
5,coala/coala-bears
7,measurement-kit/measurement-kit
4,kytos/kytos-utils
7,cclib/cclib
1,firedrakeproject/tsfc
10,mozilla/fxa-content-server
2,matteodelabre/mongoose-beautiful-unique-validation
17,TryGhost/Ghost
25,scipy/scipy
11,kartoza/geosafe
3,d3plus/d3plus-hierarchy
3,platformio/platformio-atom-ide
8,meteor/meteor
6,edgi-govdata-archiving/web-monitoring-db
2,standardhealth/shr-models
7,go-swagger/go-swagger
4,hanami/hanami
17,vmware/vic
10,spack/spack
5,pandegroup/openmm
10,Tendrl/monitoring-integration
1,appium/ruby_lib
1,girder/girder
3,Slicer/Slicer
4,BTCGPU/BTCGPU
6,interledger/rfcs
5,pytorch/pytorch
1,strugee/node-string-to-buffer
4,ros2/geometry2
11,vega/vega
2,samvera/hyrax
2,rapid7/metasploit-framework
2,nschloe/pygmsh
3,google/trillian
4,keyboardio/Kaleidoscope-LEDControl
6,tunnelvisionlabs/antlr4cs
3,ant-design/ant-design
2,atherdon/botkit-my-slack
2,kontena/kontena-websocket-client
6,MDAnalysis/mdanalysis
2,alphagov/paas-cf
2,openaq/openaq-api
3,airblade/paper_trail
4,liqd/a4-meinberlin
2,TeamNewPipe/NewPipeExtractor
4,SchizoDuckie/DuckieTV
5,saltstack/salt
3,mcollina/fastify
148,apple/swift
2,rom-rb/rom-repository
4,hbz/lobid-resources
3,mtgjson/mtgjson
1,saalfeldlab/bigcat
15,OHDSI/WebAPI
2,plotly/dash
8,strongloop/loopback-next
4,pytransitions/transitions
3,w3c/vc-data-model
4,metaprime/ripme-old
1,vizabi/vizabi-linechart
4,quilljs/quill
7,cucumber/cucumber-ruby
4,datasciencebr/serenata-de-amor
2,zotero/zotero
2,gearvrf/GearVRf-Tests
6,Ultimaker/Cura
19,ceph/ceph
3,jenkinsci/comments-remover-plugin
1,westnordost/StreetComplete
4,Palindrom/Palindrom
2,conveyal/analysis-ui
4,xbmc/xbmc
2,facebook/buck
2,artsy/reaction
2,missioncommand/emp3-android
10,spring-cloud/spring-cloud-stream
1,openmicroscopy/openmicroscopy
6,kubic-project/velum
4,telegramdesktop/tdesktop
2,danielballan/ophyd
2,blox/blox
1,fossasia/susi_skill_cms
5,cloudfoundry/bosh
3,haraka/Haraka
3,opendatateam/udata
4,certtools/intelmq
3,hyperhq/hyperd
6,DantaFramework/AEM
15,vaadin/vaadin-themes
55,eclipse/openj9
1,pytest-dev/pytest-randomly
2,enonic/xp
16,spinnaker/deck
9,sonarwhal/sonarwhal
3,brianc/node-postgres
6,SimpleITK/SimpleITK
2,zalando/riptide
3,boxen/puppet-homebrew
2,chalk/supports-color
6,jspm/jspm-cli
7,openvstorage/framework
1,root-project/roottest
1,pytest-dev/pytest-django
10,lhcb/starterkit-lessons
3,opengeospatial/teamengine
4,libp2p/go-libp2p-conn
4,openstreetmap/iD
18,spring-cloud/spring-cloud-dataflow
5,vatesfr/xen-api
3,stevemao/get-pkg-repo
3,openzipkin/brave
2,gchq/gaffer-tools
9,golemfactory/golem-electron
6,asamuzaK/withExEditor
15,xtuple/qt-client
12,cpprefjp/kunai
4,Connexions/cnx-db
1,solarkennedy/puppet-consul
4,wso2/product-sp
5,OpenDroneMap/OpenDroneMap
2,INCF/bids-validator
57,unicef/etools-partnership-management
3,Rich-Harris/buble
1,jenkinsci/plugin-pom
1,dedis/onet
1,zopefoundation/Zope
7,quintel/etmodel
5,nuxt/nuxt.js
1,xjamundx/eslint-plugin-standard
31,frappe/erpnext
6,autotest/tp-qemu
3,GNS3/gns3-gui
1,datatogether/sql_datastore
14,Project-OSRM/osrm-text-instructions
5,checkstyle/checkstyle
18,tenders-exposed/elvis-backend
7,nteract/nteract
4,laughingman7743/PyAthenaJDBC
1,spotify/dockerfile-maven
5,rs/rest-layer
5,d3/d3
1,concourse/go-concourse
22,googlecartographer/cartographer_ros
4,GPflow/GPflowOpt
5,Cadasta/cadasta-platform
5,nltk/nltk
3,pika/pika
4,coinbase/gdax-node
10,Unvanquished/Unvanquished
4,typetools/checker-framework
2,PaddlePaddle/book
5,VirtualFlyBrain/VFB
10,PhoenicisOrg/POL-POM-5
8,gpodder/gpodder
3,MizarWeb/Mizar
3,AllTheHaxx/AllTheHaxx
6,18F/atf-eregs
1,IronLanguages/main
1,uber-go/zap
74,kubedb/operator
7,ethereum-mining/ethminer
3,consul/consul
1,PalouseRobosub/robosub_simulator
1,yarpc/yarpc-go
2,micheljung/faf-java-api
5,mapnik/mapnik
2,inaturalist/inaturalist
1,wso2/product-iots
5,orocos-toolchain/orogen
26,hubblestack/hubble-salt
3,pnpm/supi
4,18F/web-design-standards-docs
2,informatics-isi-edu/ermrestjs
2,lucas-clemente/quic-go
31,zaproxy/zaproxy
1,pepkit/peppy
5,dart-lang/dartdoc
4,PowerShell/SqlServerDsc
1,CERNDocumentServer/cds-videos
1,mozilla/telemetry-dashboard
3,nextcloud/android
1,feathersjs/authentication-local
1,neos/neos-ui
2,Juicy/juicy-popover
2,realm/jazzy
1,cyverse/troposphere
1,shelljs/shx
3,Beit-Hatfutsot/dbs-back
25,hacdias/filemanager-old
7,stefan-niedermann/nextcloud-notes
6,Richardson-Media-House/Kirbi
1,web-scrobbler/web-scrobbler
4,volumio/Volumio2
2,locationtech-labs/geopyspark
1,pagespeed/ngx_pagespeed
2,cnpm/mirrors
2,inveniosoftware/invenio-oauth2server
2,marleythepuli/peanutbutter
7,gslab-econ/template
1,hackclub/monolith
1,weseek/crowi-plus
2,OperationCode/operationcode_frontend
2,ngageoint/geopackage-android-map
2,apache/beam-site
1,HydraCG/Specifications
25,CCI-Tools/cate-desktop
4,tsuru/tsuru
4,kaliber5/ember-bootstrap
1,expressjs/express
1,confluentinc/kafka-connect-hdfs
2,uclouvain/osis-portal
1,mozilla/delivery-dashboard
1,iovisor/gobpf
6,TissueMAPS/TissueMAPS
1,skycoin/cxo
4,metasfresh/metasfresh
1,opensecuritycontroller/osc-core
1,fossasia/open-event-frontend
1,napalm-automation/napalm-yang
2,trustmaster/goflow
6,wet-boew/GCWeb
4,w3c/webauthn
2,bioconda/bioconda-utils
4,bblfsh/python-driver
1,cyclus/cyclus
2,liferay/com-liferay-journal
8,inveniosoftware/invenio-app-ils
2,BroadleafCommerce/CommunityStarter
2,cms-gem-daq-project/vfatqc-python-scripts
3,dojo/cli-create-app
9,Level/memdown
3,Zarel/Pokemon-Showdown
