Source,Target,Weight
88510431,34302698,2
76991633,3678731,1
52855516,6780767,4
65585556,16563587,1
65585556,11225014,6
73384279,75104123,1
63097460,75404146,12
49970642,321278,3
39487546,37144575,8
44264925,41881900,6
71948498,22442668,2
80643958,81120794,4
31696383,7053637,7
61886109,3678731,5
27193779,321278,1
74005806,46891997,8
23977402,488514,3
321278,11167738,1
1695406,1695405,2
71995937,90622364,1
39534043,29891188,1
1864233,1864194,29
13322751,15253684,1
20789757,2441517,1
16180304,36371959,6
78930746,65914086,3
88013053,7691631,7
6093316,20929025,27
12256376,67763937,16
41881900,47341961,17
24612415,3149845,1
12256376,78882584,12
34138622,33653601,2
11180687,33822149,3
17728164,93444615,302
59059605,68243930,2
98574889,15062869,2
81263716,10851820,1
23404839,9384267,1
23404839,42712762,1
14562056,27193779,1
13111393,13111330,3
49580851,17803236,1
49598840,36960293,14
93970319,85839930,1
26931359,60882381,3
75104123,11672345,1
63891310,53175327,7
42789514,52855516,2
32106837,75130658,2
91851756,7691631,8
83259743,73824736,11
83259743,54260706,3
53238813,52855516,2
31492490,21347346,24
19816973,51688289,2
55836470,38371381,3
2436255,67210187,5
66946633,33568214,1
75605874,33568214,1
71390195,75104123,1
2812668,24474126,1
41881900,49946255,10
54725435,20580498,6
22321368,12499251,1
86608918,20773773,1
43900403,45644532,5
69093816,33450119,4
77958451,37496521,3
2835111,37489525,2
91921249,78004826,1
24517087,8629417,2
84216678,1362490,2
5532320,25003905,2
45717250,70730339,2
16563587,11225014,4
29675401,21347346,1
79149882,41103286,10
33634359,46297649,13
46918116,33015583,1
17728164,93446083,3
41881900,3829192,2
61140006,41881900,6
42412978,2296970,1
51613745,83716883,1
90259571,23096959,1
62091339,23059575,3
88486475,2293158,2
54030871,20484506,1
20580498,6838921,2
15974409,36261810,1
42408804,53363324,2
27729907,27729880,2
14329321,7691631,1
24947768,27388642,1
71273582,27388642,1
91851756,88013053,5
64431348,27729926,3
1409621,1385122,4
20580498,53954979,4
29099181,59787605,8
69933802,1090311,1
40213809,66836598,10
17728164,93446113,2
35951404,54984270,3
71393664,15901046,1
45875786,13310568,1
40213208,39911647,1
53705100,7691631,1
49970642,68416554,4
20580498,57939112,30
82339533,20801558,1
15045751,7691631,3
29663639,3301400,1
45717250,20773773,7
7691631,88013053,13
3638964,16316451,1
54503347,49598840,3
9489902,51474893,1
13384052,1446467,3
46743486,30769761,1
15923295,640534,1
26516210,50212516,2
35951404,31492490,7
48004987,16563587,10
943149,35446456,1
93444615,17728164,38
3827595,54980593,2
1446467,54980593,5
96907873,39840932,3
50686005,27388642,1
36535156,6093316,2
16563587,23096959,1
45129706,18743342,1
49013638,79377628,2
64838142,64732358,20
30652354,65794292,1
53175327,791477,15
20785986,23330903,1
37064937,1181927,1
17728164,93446097,1
89718965,49643229,4
73964895,321278,1
27729880,45717250,2
19390712,2006876,3
