Weight,Name
2,convexopt/gpkit
6,cisco/cisco-network-puppet-module
6,apache/zeppelin
2,KronicDeth/intellij-elixir
2,noseglid/atom-build
2,bytedeco/javacpp-presets
2,rackerlabs/encore-ui
3,orocos-toolchain/ocl
1,koajs/static
1,ECESeniorDesign/greenhouse_envmgmt
1,imeji-community/imeji
6,DevExpress/testcafe
1,McJty/RFTools
3,gonum/lapack
1,helmetjs/hsts
8,osiam/addon-administration
2,finnlabs/openproject-costs
1,damianszczepanik/cucumber-sandwich
1,stealjs/steal
9,psi4/psi4
5,vatesfr/xo-web
2,openspending/openspending
1,strongloop/strong-pack
4,theforeman/puppet-foreman
2,duke-libraries/dul-hydra
32,HackEdit/hackedit
6,pagespeed/ngx_pagespeed
2,superdesk/superdesk
3,WebGoat/WebGoat
7,openhealthcare/opal
9,interlockjs/interlock
2,PolymerElements/iron-demo-helpers
8,mosra/magnum
1,tomahawk-player/tomahawk-resolvers
1,LMMS/lmms
1,motech/motech
8,GoogleCloudPlatform/DataflowJavaSDK
20,owncloud/client
3,la5nta/wl2k-go
4,18F/web-design-standards
11,ngageoint/hootenanny-ui
7,jrief/django-shop
1,forumone/generator-web-starter-wordpress
3,coolcrowd/object-service
3,pimutils/khal
4,getnikola/plugins
2,greasemonkey/greasemonkey
1,geoadmin/mf-geoadmin3
2,tastejs/todomvc
15,zurb/foundation-emails
16,uclouvain/osis
2,p2p-sync/sync
24,jMonkeyEngine/jmonkeyengine
2,vigour-io/brisky-hub
7,mikepenz/Android-Iconics
2,GlowstoneMC/GlowstonePlusPlus
1,alphagov/verify-frontend
3,owncloud/documents
1,swig/swig
2,ruby-grape/grape
2,HPENetworking/topology
9,ehcache/ehcache3
2,stormpath/stormpath-sdk-node
2,globalizejs/globalize
13,FreeCodeCamp/FreeCodeCamp
3,go-gl/glow
1,rembo10/headphones
1,rhiot/rhiot
2,YPlan/gargoyle
1,freme-project/freme-ner
2,rovo89/android_art
1,lipp/doclets
1,spulec/moto
1,ubuntu-core/snappy-cloud-image
1,rwaldron/johnny-five
3,mysociety/alaveteli
1,ioam/holoviews
5,slipstream/SlipStreamServer
7,w3c/browser-payment-api
1,sandeepmistry/node-bluetooth-hci-socket
2,uclibs/curate
1,xia2/xia2
2,OCA/web
2,SonarOpenCommunity/sonar-cxx
3,cloudfour/drizzle
1,cartodb-org/cartodb.js
2,infiniteautomation/ma-core-public
4,trufont/trufont
1,katharsis-project/katharsis-spring
1,ContainerSolutions/minimesos-maven-plugin
2,kodeklubben/oppgaver
1,bem/bem-xjst
2,loot/loot
2,duniter/duniter
1,strongloop/strong-service-systemd
15,projectatomic/adb-atomic-developer-bundle
20,gravitee-io/gravitee-management-webui
4,cclib/cclib
4,ipa320/cob_robots
1,phuslu/goproxy
2,sparkleformation/sparkle_formation
1,koopjs/esri-to-geojson
22,dsjoerg/ggtracker
1,apache/storm
2,Zillode/notify
1,cibernox/ember-power-select-with-create
2,ros-industrial/universal_robot
2,martinisgroup/servers
1,gwtbootstrap3/gwtbootstrap3-extras
3,IsraelHikingMap/Map
1,feathersjs/feathers-cli
1,ryanseddon/react-frame-component
2,travis-ci/travis-build
2,pulp/pulp
1,securestate/king-phisher-templates
1,python-babel/babel
2,jubatus/jubatus_core
3,typetools/checker-framework
3,kevinbeaty/any-promise
3,ckeditor/ckeditor5
1,spring-projects/spring-security-oauth
3,tracespace/pcb-stackup
2,CosmicPi/cosmicpi-arduino
1,zalando-stups/senza
25,w3c/aria
4,atomix/atomix
1,yberreby/rgo
2,Neamar/KISS
15,rubysec/ruby-advisory-db
1,lxc/lxd
11,cBioPortal/cbioportal
3,Kitware/HPCCloud
4,eclipse/smarthome
3,zalando/problem-spring-web
2,astralway/webindex
3,davidjsherman/aseba
1,pentaho/pentaho-kettle
2,garthenweb/bubleify
1,DigitalSlideArchive/large_image
8,timelyportfolio/parcoords
3,tdiary/tdiary-org
1,demurgos/skype-http
1,clarat-org/clarat
1,vigour-io/brisky-render
4,rpm-software-management/dnf-plugins-core
2,pdonorio/restangulask
1,satnogs/satnogs-network
2,wooorm/remark
11,openbmc/openbmc
2,amalgam8/registry
1,zinserjan/wdio-visual-regression-service
3,probmods/webppl
11,sensu/sensu
5,medic/medic-webapp
2,sul-dlss/stacks
48,rancher/cattle
2,LunarG/VulkanSamples
2,mopidy/mopidy-youtube
2,ubcgif/em
1,msr-consulting/exscalabar_server
15,jobiols/jeo
3,AmpersandJS/ampersand-dom-bindings
1,stripe/stripe-python
1,igarape/copcast-android
2,sinonjs/lolex
2,HazyResearch/sampler
2,edouarda/brigand
13,MozVR/webvr-spec
2,monero-project/kovri
2,magfest/ubersystem
2,juju-solutions/bundletester
1,kwikteam/phy-contrib
3,praekelt/numi-api
3,ethereumjs/testrpc
2,fosterinteractive/mainspring
17,aurelia/templating
1,mxstbr/react-boilerplate
2,tingbot/tingbot-os
2,Studio-42/elFinder
1,cozy/cozysdk-client
1,ericchansen/q2mm
3,hypothesis/h
1,Hylozoic/hylo-redux
3,storybooks/react-storybook
4,flutter/engine
1,webpush-wg/webpush-vapid
4,yast/yast-installation
2,splodingsocks/flow-typed
1,angr/simuvex
1,substance/texture
