Source,Target,Weight
42712762,17592572,10
44350607,20580498,11
1283503,27193779,1
8962829,10064545,3
6884056,1460385,1
31492490,29137950,18
19205896,29261473,1
671825,507775,1
692146,28710753,1
3342055,27193779,2
34819734,34762920,4
35573790,34819734,3
39520630,35068524,2
20580498,36960321,6
41881900,27193779,4
46514723,32487306,3
7691631,36960321,35
40659127,47710641,3
1133930,23254194,1
7061640,206084,1
11778024,45589754,1
29620400,16241224,7
3483944,206084,2
38003903,41516944,1
11061773,5787025,4
8685799,11939484,1
11939484,8685799,1
25652980,27562508,1
29455960,43796926,10
42789514,42769750,4
41835935,41516944,1
39595597,32023078,2
27483832,27051771,4
206084,4106792,5
19550310,6235174,5
48965323,47890478,1
29102367,4950187,3
7705565,8514,1
7691631,49029588,31
49029588,7691631,14
39487546,37144575,71
8629417,18402447,5
7691631,28366058,11
41881900,47341961,80
20580498,9998516,3
34546968,5532320,3
44812516,49135663,2
43754052,12256376,1
23928410,43524551,7
28059353,20929025,2
33943829,5532320,1
36960293,36960321,6
41881900,37829238,2
1695406,23652126,2
6498492,10270250,1
31267813,42006308,1
21052744,6296790,4
30941129,19872239,2
37616442,21943147,1
37942816,6498492,2
2968000,3557653,6
16369511,321278,1
43718196,5694513,1
27576132,5694513,1
9325315,10126908,5
26634225,26229585,1
24195339,44591594,1
34092787,30982112,1
38386462,11061773,2
11061773,38386462,1
23766683,33791453,4
45704630,44639329,2
206084,3483944,2
21088356,1424470,3
20929025,41881900,6
5281935,13124802,2
30379674,4164482,1
24657889,11969507,4
45632603,19872456,6
4723248,11061773,2
20580498,12332444,2
42551686,49598840,3
1064563,27729926,1
42685466,30920813,1
33655535,32897150,2
390510,5801666,2
6365343,34678084,8
41881900,20929025,192
27442967,30920813,4
4723248,1451352,3
261943,32104924,1
42488903,41116814,4
20929025,6093316,2
1661758,37620800,1
33352201,23096959,1
15787992,13258039,1
42488903,47666817,5
17163720,3606738,2
19832415,4037197,10
41458519,27576132,1
27494663,19360616,1
41861768,43916263,1
17824536,16256144,2
5532320,34105868,1
893522,321278,1
48063203,27388642,1
27388642,48063203,1
9214768,4106792,7
45722968,45319937,5
11589713,45704630,15
50255455,37231620,5
5532320,33689104,1
21365739,2168780,1
10975056,10126908,4
943149,35640229,2
28283593,19989605,3
37145035,943149,1
26820798,35312458,3
10851820,49837740,1
41872319,27612788,3
41881900,44774566,80
6930489,31524768,1
15316534,6093316,1
46297649,33634359,5
5845944,33567946,2
15355019,5187096,1
37743436,7691631,1
20821223,11980558,1
658518,33653601,16
25462659,18055618,3
24774658,6670942,3
1385085,1385122,4
18045013,5755891,1
206084,3745077,4
45632603,36535156,1
22137709,18399519,2
3638964,24474126,12
19360616,7691631,9
13158707,1446467,1
30043131,29704274,11
47708842,47710641,1
1446467,1362490,2
12445598,3016562,3
21347346,31492490,7
11061773,40242646,1
42417822,206084,1
26303877,26201720,1
33208063,19316848,1
23096959,33208063,1
40508605,29028775,5
2277989,32104924,2
41116814,42488903,5
24474126,3638964,17
13993875,16286131,1
21707405,16783593,1
45142797,34105868,1
49086513,18609427,2
29704274,30043131,6
12488647,5710341,1
321278,1446467,1
41881900,9384267,7
4037197,19832415,28
34007042,40905424,8
22993377,22660201,4
494159,8514,1
38558578,9384267,3
11504592,11639637,2
41002005,20929025,1
671825,729744,5
47674501,47674448,2
1385122,658518,1
206084,22394357,1
45936895,10270250,1
19360616,27494663,1
2277989,11667865,1
37994867,43980639,1
15510233,15510254,4
8202192,1390248,2
23332753,23445209,2
22442668,20580498,33
18609918,43603757,2
28924109,9580168,2
15350898,7969634,5
