22002175,46106551,13937936,53911920,13633443,33909634,19316848,17089728,52220352,45930890,7083242,9950667,22855240,56353740,51478266,21648326,27576132,61739430,3720601,48004987,57156495,41458519,21786790,24474138,40916314,6762869,38779722,44122405,11589713,33866783,23096959,14329321,53356367,14990119,8966356,11180687,11225014,108289,9787757,21704134,23272510,43723161,25573868,13124802,15045751,1797486,19994257,5281935,16563587,910744,17728164,4127088,8061086,36653430,45704630,49686795,4980033,33208063,5672873,44639329,26996090,13512328,2770074,60245511,28366058,17303641,31288958,9090937,15111821,2500088,53422440,21306961,54503347,25473816,9759670,22002058,20580498,51862718,47133414,46893164,42169806,19205896,36960321,39643904,3631697,42881861,44570556,29267754,44767194,3459645,31046054,38829639,35969237,4137249,3459922,18399889,39877357,39879019,40563188,3638964,36900260,27782596,12332444,22442668,29140945,51556828,10270722,1914329,2803877,11452538,50553550,17528018,28796010,24795646,7825571,26316801,8202192,1610564,51573279,12106931,27551774,29207621,40147107,27729907,29629333,51344082,14712850,10545810,36960293,44977157,28283593,869754,27494663,108278,9998516,20789757,44418103,13234395,24474126,42551686,19360616,43480269,9524057,1390248,45930333,16752620,38275789,4961126,37038121,17803236,4007018,29704218,21399598,2132207,11601889,32075541,481872,12317077,30574078,39503838,58298985,22485114,20819799,39148229,49598840,7691631,258750,19748680,35643417,34659664,44344606,6838921,55640919,53311716,30666740,51764517,37743436,58956476,815644,49221370,26172294,20653934,16678519,39178161,27729926,41945291,42454540,25185119,21279347,44350607,28053761,8042529,23059575,19989605,48007294,21641241,36214040,29925961,33835376,54743632,53138972,48666825,48253848,10247874,50936112,26509369,33258973,24109199,29987382,25527782,40686014,25357406,14125254,3720553,24198103,10717112,49029588,40562997,49904068,51539656,41681600,25573964,21591001,9992805,4046291,53296807,31404980,29261473
38056556,5746963,36099221,1446474,41110800,49672551,6404963,9568894,32897150,6235174,38126184,2381732,6248645,39923176,30895522,5801666,5070149,16008423,15926039,658518,26142147,5731348,28710753,692146,301742,1049095,43281023,6136261,44256956,15830664,6182775,41105695,35517126,41807855,2857373,59152263,10178188,1998014,8406709,9707708,39164702,50118546,42546102,50348325,12550138,15730865,31262911,43194368,48452666,37231620,34138622,38962730,14448779,51285855,4704710,41829476,2835111,596892,15787992,37481177,50357137,1885237,46732121,30190430,29620400,29273084,33148320,28949681,29036740,5312648,33168839,29893472,5282596,10073640,36754446,1385085,2310495,57319371,26876372,23013175,20101515,24604008,1512901,39858489,33389183,55497702,55761482,50255455,1362490,24253493,3579088,47862157,20021829,671825,37489525,843222,11939484,13258039,45271904,1460385,13158707,28782747,18802640,16587283,29692393,2410676,2081289,324077,41930235,42521702,46151823,3544424,841835,28611747,31696383,46802649,15778059,4093296,34421796,15884459,10035842,640534,2081290,14993021,16165969,51343152,18777006,6884056,38413391,33655535,12858849,3573909,3510804,13454696,11407242,1446467,26142080,40208831,6750871,31167560,54340642,37589040,40087271,11845170,54924755,33767206,5894962,25865703,2866041,858127,13384007,39586616,390510,8685799,42376,2165383,26516210,14912894,36895421,19496590,38595170,40962691,11380094,7150415,729744,34693515,13221727,24891661,33653601,1235740,1385122,11391151,16241224,49098270,2129761,7053637,29249482,9120498,478584,1258258,12898486,42408083,53425214,43160685,33576828,1301584,20785986,54980593,847885,40916565,44059189,654608,27086567,17307763,30892477,10682579,25817842
48626335,21125024,10045175,29243719,35312458,10224599,27745544,1283503,1464380,8680119,35348811,35562367,3604157,11551538,8959037,2688907,7910045,37620800,991475,52387316,9996255,781028,15343437,39161943,5880912,24774658,49800398,56933562,1133930,4128353,38331796,26820798,11205780,4090287,11545928,13525176,12646044,7586424,5911225,55170377,26443394,3757512,53897088,24162061,3228734,1402936,53759690,45710306,2672652,8594752,29891188,19872239,23445209,47155143,37834277,13695735,712530,7363211,40690081,32238354,22590963,893522,13478387,39297380,38267721,37717474,42275126,4297273,15509051,6780767,8527756,3342055,15479087,20158338,1507818,6670942,10706095,38277541,30840755,1719690,42341942,26523092,10126908,5433677,49850682,15280279,51299492,18046972,38466530,33925906,12072895,2851691,2050163,51710581,9037631,43401975,43718196,40053602,52386107,19692503,16029103,36092584,9325315,16665655,153204,46881155,15073130,30941129,27193779,167174,8905877,948957,48808013,48276775,29268051,56539106,14149371,49722492,22321368,18511024,19550310,5694513,50747915,43797718,8138462,321278,33894612,52457187,23254194,23332753,3228363,5151909,12511640,1661758,39804826,16369511,31790386,9517720,10975056,38478082,2765899,57199196,4619701,3319769
21419780,24560307,23260742,32787174,41139450,21943147,37560269,43790903,43969113,24669372,40446628,41376392,4939243,37616442,29028775,16411534,13302970,20490468,6621471,43490815,9306568,14131914,1200050,6060783,49168512,24657889,41832897,17815177,52208748,15316534,37750203,41516944,45393266,38003903,21779020,4723248,25315643,38647802,47181972,49437324,49966855,18840003,20300177,2661753,20212761,45913712,18533350,30064588,13125982,45942274,55477760,58390500,1861458,40013435,15062869,15536087,53731544,38531226,28612154,2051226,40821265,25450557,5569059,11969507,19990198,44620036,50390586,37942816,22309651,6093316,38002219,26567889,33044331,49086513,42122684,36535156,12751351,50296821,28246472,19812208,18477927,6498492,49976795,18609427,22338518,18845024,29031987,47982627,10697582,41835935,35565534,10270250,12169108,45936895,41117523,45319761,16147933,38420518,52087075,779570,46891997,26514771,25830235,35597922,37931301,38558578,38934449,35914020,35998691,2179572,27912524,8854513,42574339,9201387,18045013,5755891,55401807,4253587,11188838,47287892,41359055,22887863,54655535,50903999,16989371,271714,9384267,55473480,45632603,30292255,24579238,19117456,19872456,51769689,47824319
22394357,24894902,18141084,25471088,45489191,43419931,9214768,4084908,49070246,8710734,14259343,25476601,10873724,42417822,25471136,7833168,47179097,3161336,25021151,11639637,48818703,25312507,15799524,3483944,11504592,44262636,47453657,10073359,34039690,5483330,7061640,11507500,43330318,47576910,44662669,44563779,14159669,507775,22887094,842163,4106792,52855516,53249802,42751387,20415251,37862859,1090311,33816473,206084,3745077,27292283,7972465,3297519,56941978,53238813,3623050,16554739,11851236,1064563,6506651,4728983,25483047,46514723,14718267,24636789,9831101,3629537,5191883,32487306,39162633,1039520,25312488,25312463
45793760,32916096,36835663,56557311,21989459,943149,3948738,714074,1213225,27835638,41557420,52193120,380961,27803399,43068275,45854411,35866694,42828146,46298872,37559299,16089035,16207704,27788951,45947467,28053096,2975321,57910253,44700172,35640229,43717321,44689601,40969713,22249306,8962829,35446456,36388645,13429048,10755256,24296709,44773553,10064545,47086576,17815129,12225546,3214406,27931142,37145035,50729896,10920202,926231,3955647,44544444,3293729,10174599,19843509,51777407,5896228,42283287,3678731,38711355,2088939,38779221,47903333,7693799,55941165,11796974,39152400,15085427,29335461
44774566,36674234,37829238,40828842,54419624,28059353,6452529,43607286,40667593,60503507,45485565,35042996,41095157,11892534,21347346,45036984,31524768,41002005,56088006,35951404,47877324,21060126,50060429,12785038,47515815,756967,41881900,40555844,43722735,6930489,40508605,51158113,42926209,5263633,11672345,32247847,41083405,41443539,43679920,41861768,46187814,35428415,47341961,45975112,45091124,47540830,40568608,19606628,43156818,46659760,31492490,20929025,38307428,33742985,44264925,46917461,47258342,31077672,43916263,49946255,47174494,29675401,49288313,29137950,3100121,45425758,39111193,56696286
2346936,15846674,21243212,27511599,12519245,40052921,28550902,10957960,56089535,53196588,46123862,4287066,3346602,23083156,355893,5225720,52459319,381979,26229585,19238853,39534043,1735985,30426019,26634225,39257711,3195124,11061773,2573058,47339318,5787025,18280236,23089940,38386462,54506920,49233682,31272277,40431423,1424470,40242646,54503492,36315867,18916316,31404632,44402648,25131304,4738329,43679310,50937493,1272666,4268140,21088356,501326,37627792,53558755,50892649,40055286,32612301
13347640,168370,238986,538746,3443382,1021040,1794012,106995,1784628,1194027,11667865,2277989,238972,8393,494159,184366,308770,27342322,4095287,56125,614070,7705565,67451,392785,2095282,914603,1800808,4979192,11801614,5160706,19753224,488514,2651887,4324088,261943,7805144,2889230,18581904,30985840,1314319,36041211,14507,8514,107872,363387,959090,447184,37722820,96071,24250009,1996077,3113269,32104924,5130966
48965323,460078,48006145,41093724,46023705,50489089,3016562,20823505,36891867,26506083,32654500,47658996,47890478,43385504,31702454,13220460,37953959,53996049,21357099,45205350,52295249,44591594,34278991,31682410,1801829,31985425,42871488,49016322,12445598,43754052,50368366,44045057,16030468,42875638,20378586,12570984,21546187,12488647,34986469,14089735,14562056,43797618,22767401,2034023,59096058,9852918,24195339,30788414,12256376,2649031,5710341,52162136,60858966
33511861,51272865,34407976,34276372,35176904,33277530,39275042,34215385,33902006,33943829,34762920,53668705,5532320,35310228,34589406,34064510,35068524,39520630,34577126,34079386,29666602,34869070,35054961,29623856,30982112,46116303,34131646,34139070,30035812,35573790,45142797,34885279,14291040,34084732,33898786,34294743,28489249,34697618,7804910,34105868,34129761,34546968,33507463,34092787,34819734,33689104,54777429
27051771,23357588,35065876,21233191,49597898,26726495,38843429,53954979,43098215,33352201,19483273,29543910,59700207,13840241,24031839,56533838,26181278,38781926,33015583,51930379,53674704,20755034,2183193,51117837,57153681,48749182,32509278,39595597,34870728,16052050,43158694,10062583,41890299,27483832,45717250,20343475,50878409,36919582,16316451,24829371,20773773,33743748,32023078
7639232,53498191,25937956,734934,16458672,40329787,15355019,19577510,7608138,1725199,44478604,32191748,16107755,50565430,2314534,27591558,2336578,22369178,6804324,6804779,41393164,23168206,1451352,13527761,7613257,6055900,11167738,5187096,61227051,17814354,14238815,20317364,22527161,28671602,15042339,1028340,54026492,50849377,4989235
45259073,7784091,12048721,60523700,31267813,52105244,13619340,19382615,48877653,11545371,33401957,22923251,23770421,41003843,6394704,23766683,54319526,24395109,33791453,7760890,42006308,41600436,26712042,23774298
3640925,21257282,23038198,20821223,15208514,11980558,31560300,30191479,51006907,65252,35489567,19650204,32611793,44931313,5928690,23088740,51960642,48237006,15435,24213380,48584284
7792592,5860977,37300315,55088321,17374588,5474834,17374628,7431261,7430282,10981144,5864719,7289642,2673362,2729788,5864709,10344201,17157565,24612415,3149845,42201725
11778024,45589754,17602242,42436885,16416867,2452788,26065170,6982635,45496273,1735239,747698,20310822,10041891,49908092,2452759,32033179,13972055,36831081
16412835,14983621,13442719,15582761,14860930,15308871,14778775,33670363,14951131,14778746,14419093,15334826,15799774,16702097,33190627,15081613,15308846
35552300,39266291,46515609,19927831,33959751,22737333,22737337,55562291,19928304,20264700,38133364,21909749,32485326,34927706,21748344,22737329,37613710
43040536,47708842,30027650,24612990,34007042,40659127,52308599,34495913,36021985,41180531,47710641,21627244,40905424,48387359
43796926,10851820,27448635,24790523,4246233,29455960,9385519,39137690,42151522,49837740,35621932
15057536,9934972,6296790,2045207,27401779,53330030,21741891,22254856,29989374,20811348,21052744
8629417,21831446,13993875,16286131,20552964,42047400,18402447,20897561,16709229
31507808,13341554,31842470,31268482,1217614,31268331,31507613,31268418,31120982
17372733,2003641,2055965,2006876,19390712,33146014,39236124,2219738,20313056
35563024,53448835,34122335,7653178,24871990,9606349,38060773,2481963
13712764,50264464,34786988,17254728,15379098,35395056,39856066,3489194
27442967,26403221,43347873,23831045,33631352,33789738,30920813,42685466
17842334,52919185,45846602,10391073,30175039,15404425,9478219,57971231
37201011,11931032,15452919,30197536,54255850,50457080,50457727,24655114
41690093,41690111,41690075,41690081,45687347,41690044,41690099
24734972,13203894,16214517,32176657,13446739,46000465,39157654
40025701,45209229,45209191,40269956,42207274,40037231,39974376
45581692,34223946,30358412,47922159,32969220,36810120,919161
49653414,36316259,30100099,20227975,49670099,31955635,36315010
49134328,17163720,3606738,34891719,5296705,50151065
45691818,1181927,14981376,4646198,2068007,26987049
4989164,19380542,32171747,33197650,4989143,19358771
15670215,346746,61067582,816841,695611,143580
39487546,31670053,37144575,24998719,50514153,22844864
37040512,27549019,39561808,37724576,37723710,59041044
47844713,13384052,49564954,50843402,24500594,52270508
18327646,18327506,18327496,18327738,23067055,23050575
53214857,53213638,53583872,54017316,53258608,32737992
17592572,16174770,37661362,20054543,42712762
46939,30379674,4164482,7509423,704114
23947487,16256144,17824536,23202451,50613360
51914365,30921526,2562442,31315021,39374287
22080371,41826844,21954918,29558978,30561727
38625287,47179983,41492096,19325336,25461792
10097543,8604178,23697630,10453902,52083467
46727145,41333842,48385917,45936717,39809077
28061901,16744626,1084114,2556327,9403933
23633237,24609401,31211061,41668246,23992530
41670111,43167935,19149794,22148545,23627382
17432055,18131537,35015575,13584262,46998252
29898124,27883327,28214426,26873147,27790789
2014929,3442190,5171600,505209,51022036
2504560,1695406,1695405,6409637,23652126
5550567,47424112,38942862,16026402,15728293
4037197,19832415,3073296,31660902
27388642,34072130,45959593,48063203
2006302,1952578,48077705,46566822
10969551,12169492,52081290,12296490
42182894,44326653,16384837,19939216
18225913,19272315,34413897,27452807
5557128,2527828,3328572,873328
41872319,27612788,27612781,51614692
29653587,867564,29251742,8575137
27601287,52620621,27830800,27605405
4163899,4708144,519832,37996233
34182998,19711806,48992650,19036577
45487210,40143886,4576305,31788540
40765298,40856387,40823347,40823322
27583882,26628954,4385294,7763363
26316966,37993459,52083491,40470705
40709093,51523353,44370739,45115104
32396114,20287787,3944100,8707973
6082996,9992330,45864773,12310030
49493513,48990826,44665264,43495960
12383106,27875709,38144492,9309093
20896532,20558462,21942491,19745004
40646712,47609714,8135462,44370687
52039406,203666,29195078,18450862
16479108,16990897,29316470,56642761
46913955,50372995,46914836,46699371
44838862,45423447,43333474,44838949
931135,11795285,22510053,5928014
42789514,42769750,50516608
29102367,4950204,4950187
42488903,47666817,41116814
44694442,18055618,25462659
28924109,9580168,9580819
7969634,36837280,15350898
21388550,20922026,20937154
20249391,6207167,2878641
12004006,16760719,11949423
12888993,28312955,53466975
46973516,47132986,46716359
4869155,4864439,5569080
28945232,7512484,18188537
22669193,30030653,39801385
5811958,25843990,12164369
1632976,5078061,1632980
35763219,14487134,11116372
23021810,24165519,52784129
13111393,28099785,13111330
21501000,21500952,23625002
27441121,30296685,55792443
44746588,45593552,49971505
32271212,19606299,48186311
59787605,29099181,44110843
37291353,41585934,12670444
11854950,21222979,20766594
5966837,1287796,9248984
48370855,42834507,33254196
26931359,7994556,36842650
38764029,39469487,40096018
38460192,39965719,45643706
39916403,7530570,18454064
2430537,5636281,28468993
6898391,6898394,19524397
10171405,3769702,8295531
48263782,48385296,51180780
2158534,15830813,2154595
606956,128476,961036
2750721,2890627,7947370
34346065,34476912,34880993
50603846,50623416,50612192
14791963,7465805,51166214
32707901,46574863,48350919
49662222,51001011,50361890
1962219,106310,14206508
1859793,902016,247278
6676523,27377485,7221949
5806776,41537958,5806845
6228403,6228378,3662176
52355632,39632391,52355591
11005977,26567881,14138377
16063988,15654899,15655399
11924873,11921752,14445965
16994897,17487671,5706983
11177048,3228110,20391209
17236639,26199498,6806252
45062555,46580696,44189799
38509422,9603889,54790623
12107007,4330620,2931111
14016119,10546179,42450772
51327024,16394957,41766002
18757388,5778576,1994469
7467217,25894747,37995048
18301101,47144676,55253879
4871551,4909355,2325416
31959909,32164706,37254359
30541396,22974806,9173280
55927229,55243966,26521386
41671989,29378455,36959143
26750407,2540368,2546427
56074844,28972890,56516522
2567844,5298790,44974513
19504082,9252533,16366081
40137508,53619303,49373061
1035184,17540053,49000057
53623433,29309660,41966600
49887169,54986707,47011146
28800891,6314638,55858313
42126628,39332913,60847929
25652980,27562508
44812516,49135663
23928410,43524551
3557653,2968000
34678084,6365343
45319937,45722968
2168780,21365739
33634359,46297649
33567946,5845944
22137709,18399519
29704274,30043131
26201720,26303877
16783593,21707405
22660201,22993377
47674448,47674501
37994867,43980639
15510233,15510254
18609918,43603757
41366906,5150954
17838583,2203645
36354077,28986110
35210580,36817565
34890311,23631776
32181539,23984796
6888841,28836678
2228226,2510503
25273785,23116127
7786818,3038446
46155527,2156455
22841798,21160389
37887675,37823327
108110,1368195
14812631,30388450
10522613,2233998
29417074,17148588
4039952,40309258
23780325,12418999
31481403,10066825
348360,345739
4591214,46675435
14105478,6441855
8250591,184460
49998885,11221453
5108051,12756992
18371322,18224920
23404839,48520784
41642019,44259451
3834332,48504165
11771697,37232193
12561500,3669065
41091798,38381661
43445823,41029840
597879,237159
48335985,46445764
50258379,10187082
18342541,25268692
1020639,1372780
27174833,28098592
33494287,27237693
27311720,24216135
1276752,11550731
51688289,19816973
36680862,613742
21686950,10469184
34022262,33697675
28221354,32935745
50011104,33744138
36524868,37870289
446086,501127
50707328,46168853
2938270,401025
20954246,47671127
39565196,39565139
32848140,40643447
22329177,47433356
41607866,18708438
18993814,18993042
33480727,11432401
6884031,6884038
12182834,15127744
46763528,50244359
27763442,3313230
36883823,34262857
21317181,22376054
9615328,20473913
25872469,3329923
20718813,34720631
9640519,6899875
4916824,12483494
39485259,507123
9174469,14496393
8077957,7262203
2334160,44905139
46528447,20115200
3449583,3449602
24959925,6280464
37209736,37216914
33489346,4766638
50631400,23570030
31771754,31772022
13739356,10037542
35057998,52695993
46450850,49303127
1182756,2791179
990035,1405338
41652386,15778896
19785525,40527870
50904245,27503425
29028070,5550623
36087295,52305585
33202667,35968578
37526090,37372629
1094430,2691467
24325875,42332151
48057979,46509189
12357974,16865424
4025121,13049233
1398323,269333
10399273,10399553
1844251,47047829
30990737,12933501
37489388,44250834
46615207,47753508
53168708,17960746
44169545,53776559
26061231,30120110
33457443,52748444
51139585,17901778
12199913,5550556
37300015,7372528
812393,33930303
49096595,49096617
17224514,44253742
16016386,21433270
30769761,946945
28457823,45327911
31151120,18650647
1779181,49813281
51307016,34120387
18187161,42048726
49129469,37257621
30776365,3824442
4586403,47720344
8277372,529502
44672744,44530774
28191660,3880513
1125389,1893173
19542768,50096506
8266573,12877731
52568788,45222501
7785673,38817759
15346914,47349068
39507997,39430681
20922238,20895915
17217234,6140556
56011378,55561031
51019090,54221783
5816573,53973074
44068507,29605985
44930707,32043598
54656632,38307113
17453180,27559657
55288956,10028367
6567216,12833442
10651157,16388445
21992036,26343826
51367450,27131923
40608318,37720947
15550894,15514912
19740527,2634628
29290473,27330467
30668425,13225039
51616240,6515095
22995464,5078291
19387849,14135470
23797984,36124357
43177821,47840472
8745199,42106842
21184808,11461524
12151814,15231680
38927440,38927866
2609642,54728239
15480067,19725743
36887547,2508083
5314652,6106345
15592447,41163140
11150301,4521463
20175925,2644458
50796928,38488726
26247715,23715024
28964450,53504694
2108481,47252635
39924597,22737436
56920772,37765305
33595550,33120392
18150451,10109359
16294920,42548113
27454562,56426722
6047468,3559019
8154497,8133216
26192117,45847491
33957407,32481543
40924266,51325342
19753195,15778981
40998919,47964688
42261333,10805187
2191449,27434724
13421878,4514536
56635304,931039
45569214,48765002
51021769,29985850
692270,58638656
42061358,58306980
24053165,43431233
58857359,58849953
14720810,3671909
51437382,47401006
24377001,23364221
22355214,35120039
42542702,42873040
60637159,60637112
59510275,59964504
23330499,22764273
2031640,2706701
2698821,38839516
24868135,41568744
26902629,18023059
37226382,51507157
447036,16929683
42916308,14727320
37966995,30632878
62267374,49533283
20505020,17788258
2176646,1953389
30252938,25887611
7580644,16523712
52581991,29105936
36612050,31686207
53899485,29875036
46236248,36832736
16427229,34233723
57342154,23772147
22426819,44312673
54625615,59189963
49286861,38885825
30891787,42745723
27804716,49535019
41730120,30969188
36298477,45265432
16187904,1095380
51302234,50424366
23333127,53975348
48641206,3910945
25898898,46601451
54173593,61093668
39211337,24657821
43333508,46753325
4368130,4368120
1383170,42698429
36358216,40328426
56498893,41105415
