Source,Target,Weight
56889650,17728164,1
8604178,10097543,3
18410674,24868135,3
18410674,14536054,2
5741125,43916699,1
6093316,51474893,16
7962111,12225546,3
23404839,7691631,1
21413198,20929025,1
3214406,5896228,6
5896228,3214406,2
5896228,43717321,1
22882621,11939484,1
19692503,9325315,2
108278,7253769,1
45589754,11778024,1
31288958,14125254,4
36040894,6498492,1
26509369,27782596,2
53370988,46283752,1
56555308,32215970,1
44869078,36535156,1
32180714,39657587,1
56353740,20580498,6
45766550,13258039,3
61812065,46636443,1
23116127,25273785,2
24691293,8514,1
44252317,33202667,2
35520634,11061773,10
44250834,37489388,1
29620400,33655535,1
15073130,6498492,1
26509369,38881222,1
19753195,15778981,13
50258379,14210523,1
51457456,11672345,1
49686795,20580498,1
41881900,27193779,1
206084,52855516,6
1210071,18801276,1
49029588,51556828,3
39430681,39507997,3
55956740,54575825,1
7363211,991475,2
4723248,20929025,1
19390712,2219738,1
24774658,6780767,1
16008423,46802649,1
33898786,33902006,1
44774566,41881900,13
14562056,13220460,2
3678731,37616442,1
27193779,321278,5
873328,3328572,4
28366981,15350898,1
28059353,33742985,1
14960387,20445947,1
26702968,168370,1
2189967,29976873,1
54340642,843222,3
7253769,108278,1
24612415,5896564,1
7653178,35563024,9
41881900,42131201,10
447184,8514,2
16388445,10651157,2
51307118,11672345,1
5642413,7357595,2
38834157,54120965,1
16999809,15443575,1
54120965,53369484,1
49016322,24195339,1
2381732,2310495,5
30100099,22847604,2
33653601,33655535,2
47401006,10247874,1
41881900,42926209,9
43897107,41571541,2
52284264,20929025,1
36960321,49598840,1
20580498,10826219,1
45873864,4780572,1
59469085,6498492,2
61815853,6498492,1
12004006,56764583,1
40823347,40765298,3
16183015,13530047,2
321278,11167738,3
3346602,1424470,1
59096058,9852918,3
3629537,14303048,4
60750744,8966356,1
17374659,3149845,1
49966855,11969507,1
17959555,15045751,1
36960293,36960321,8
33822149,31504491,3
36947866,3638964,2
49598840,36960321,9
10851820,21413198,1
54503347,36960293,24
26516210,1446467,1
1446467,26516210,1
24868135,57909178,2
57909178,24868135,1
2077020,27193779,1
12296490,10969551,2
17728164,14125254,3
6922463,1090311,1
52855516,53238813,25
5532320,43003744,1
3504464,3504505,1
55343540,2237981,1
49946255,41881900,4
50168898,50779358,4
62812779,17224514,2
1446467,54980593,6
20171642,20484506,1
37489525,1446467,1
33202667,64255423,3
26884724,734934,2
15974409,2508083,1
45502608,10674058,1
19957276,9037631,1
12256376,60858966,1
41913731,381979,1
30100099,36316259,1
29137950,31492490,7
60534237,35326416,1
33610278,3301400,1
29455960,9385519,2
1187853,32339800,3
36960637,9278888,1
2183193,33015583,4
20307596,2050163,1
10453902,8604178,2
41881900,321278,5
39820044,39504796,8
41881900,52413659,1
57386052,33718145,1
15073130,1520275,1
22841798,21160389,1
63356659,63356771,1
16563587,20580498,2
27806545,41829476,1
33767206,41829476,1
58956476,23096959,1
62367558,63613430,1
7918325,40135191,1
45091124,32247847,1
17528018,51344082,2
62412837,62367558,1
2945088,17197934,2
16554739,7833168,1
2081289,14448779,2
10674058,45502608,1
15221515,57309106,1
1301584,654608,1
1064563,507775,3
671825,29893472,2
37613710,21909749,2
40686014,3638964,1
25273785,23116127,2
28059353,44774566,1
42283287,20929025,2
25774285,25069680,2
44930707,64340716,3
37198148,64340716,2
32264183,64340716,2
60115618,60115659,1
51283658,2560988,1
43685186,1446467,1
34013728,33902006,3
29798880,15452919,1
16026402,5550567,4
10041891,11778024,6
38843429,19483273,1
15045751,10247874,10
20891076,19745004,1
53214857,53213638,3
53154390,43903637,1
36891867,96071,1
3342055,27193779,3
869754,19994257,2
3100121,16104394,1
1801829,14089735,2
1801829,30779589,1
698041,3955647,1
943149,38273403,2
33742985,20929025,1
23096959,20580498,3
34693515,2081289,8
3678731,31829770,1
640534,658518,1
19483273,38843429,7
19076589,3867127,2
40008106,9384267,1
58697353,9384267,1
55225846,27631673,1
14531737,1181927,1
53356367,7691631,1
22923251,48599462,1
1206729,47671127,1
16008423,6235174,10
