Weight,Name
306,kubernetes/kubernetes
548,Microsoft/vscode
54,nodejs/node
41,conda-forge/conda-forge-build-setup-feedstock
22,pytest-dev/pytest
109,meteor/meteor
63,RobotLocomotion/drake
101,Homebrew/homebrew-core
62,apple/swift
14,keybase/client
24,Polymer/polymer
14,elastic/kibana
24,odoo/odoo
18,mezz/JustEnoughItems
15,openzipkin/zipkin-java
18,whatwg/html
8,chef/chef
6,hoodiehq/hoodie-store-server
24,astropy/astropy
11,dojo/widgets
20,zenodo/zenodo
46,mapbox/mapbox-gl-native
15,junit-team/junit-lambda
14,swagger-api/swagger-editor
9,mkdocs/mkdocs
30,janus-project/janusproject
12,vega/vega
14,rackerlabs/rackspace-how-to
8,ros2/rmw_fastrtps
10,home-assistant/home-assistant
18,Graylog2/graylog2-server
5,SpongePowered/SpongeCommon
46,vector-im/riot-web
9,spotify/napalm
44,OPM/opm-simulators
12,department-of-veterans-affairs/vets-website
10,mozilla/fxa-content-server
22,FormidableLabs/victory-chart
4,sul-dlss/discovery-indexing
5,droolsjbpm/drools
11,realm/realm-object-store
7,getsentry/sentry
13,projecthydra/sufia
5,ReactTraining/react-router
59,openvstorage/framework
4,lobid/lodmill
5,sul-dlss/exhibits
35,katharsis-project/katharsis-core
12,cclib/cclib
15,openhab/openhab2
8,owncloud/client
3,Esri/esri-leaflet-doc
3,tomchristie/django-rest-framework
3,mitmproxy/mitmproxy
10,18F/federalist
180,thaliproject/Thali_CordovaPlugin
7,zopefoundation/zodbdocs
4,choderalab/alchemy
3,celery/py-amqp
4,resin-io/etcher
4,loot/loot
9,sensu/sensu
2,ethereumjs/testrpc
3,GoogleCloudPlatform/google-cloud-intellij
5,Becksteinlab/GromacsWrapper
7,w3c/media-source
8,fog/fog
6,yoshuawuyts/choo
4,hpcugent/easybuild-easyconfigs
9,RackHD/on-http
5,donejs/donejs
5,aframevr/aframe
6,mosra/magnum-examples
55,coala/coala
1,googlei18n/ufo2ft
2,interledgerjs/ilp-plugin-bells
9,BD2KGenomics/toil-scripts
6,quintel/etmodel
6,ckeditor/ckeditor5
3,CartoDB/cartodb
3,imagej/imagej-ops
4,ceylon/ceylon
2,mozilla/distribution-viewer
6,opentrials/opentrials
3,edx/edx-platform
1,datproject/dat-node
3,kivy/kivy-website
16,ceph/ceph
5,PyCQA/pylint
2,andywer/npm-launch
4,numo-labs/isearch-ui
7,crowbar/crowbar-core
1,researchgate/gemini-react
3,couchbase/couchbase-lite-java-core
4,openaddresses/openaddresses
33,zaproxy/zaproxy
1,slap-editor/slap
9,ckan/ckan
2,uclouvain/osis
4,travis-ci/travis-build
3,superdesk/superdesk-aap
3,apache/zeppelin
4,sinonjs/sinon
2,plone/Products.CMFPlone
3,utexas-bwi/segbot
19,ehcache/ehcache3
1,whatwg/loader
3,angr/angr
2,bootprint/bootprint-openapi
4,18F/openFEC-web-app
8,geneontology/noctua
2,hanami/lotus
3,MegaMek/megameklab
1990,cms-sw/cmssw
8,owncloud/calendar-rework
16,certtools/intelmq
6,thelounge/lounge
4,xbmc/xbmc
2,d3m3vilurr/node-ffi
5,SeleniumHQ/selenium
11,autotest/tp-qemu
3,Project-OSRM/osrm-backend
2,TerriaJS/terriajs
15,c2corg/v6_ui
2,Connexions/cnx-archive
6,monarch-initiative/monarch-app
5,Miserlou/Zappa
36,trilinos/Trilinos
2,stormpath/stormpath-sdk-react
1,att/rcloud.rcap
3,jberet/jsr352
2,pre-commit/pre-commit-hooks
2,zooniverse/shakespeares_world
7,PokemonGoF/PokemonGo-Auto-Pokestop
3,zeit/next.js
2,confluentinc/rest-utils
2,simpeg/simpeg
62,w3c/aria
3,SimenB/stylint-stylish
2,syncthing/syncthing-inotify
2,Automattic/wp-calypso
2,mapbox/node-pre-gyp
5,citra-emu/citra
1,veraPDF/veraPDF-pdfbox
2,uribo/jpndistrict
8,bbc/hive-runner-android
1,swisnl/jQuery-contextMenu
1,ga-wdi-boston/js-reference-types
2,screwdriver-cd/models
3,libgit2/git2go
1,PokemonGoers/PredictPokemon-2
1,jenkinsci/junit-plugin
10,eclipse/vert.x
4,JMRI/JMRI
3,saltstack/salt
5,chiahaoliu/xpdAcq
4,MovingBlocks/Terasology
3,avelino/awesome-go
2,pentaho/pentaho-reporting
3,graphhopper/graphhopper
6,tilezen/vector-datasource
2,kytos/napps-server
4,vert-x3/vertx-sql-common
3,LLNL/spack
3,tmpvar/jsdom
2,evancohen/sonus
3,douglascrockford/JSON-java
10,mknx/smarthome
1,sensebox/openSenseMap-API
