Id,Weight,Name,Language
52855516,101,Homebrew/homebrew-core,Ruby
10969551,1990,cms-sw/cmssw,C++
51556828,31,docker/swarmkit,Go
50118546,2,Graylog2/graylog-plugin-pipeline-processor,Java
481872,5,mitchellh/vagrant,Ruby
33197650,2,sul-dlss/sw-indexer,Ruby
32897822,2,sul-dlss/discovery-dispatcher,Ruby
2310495,16,ceph/ceph,C++
6093316,39,DefinitelyTyped/DefinitelyTyped,TypeScript
10126908,9,strongloop/loopback-datasource-juggler,JavaScript
44544444,3,aurelia-ui-toolkits/aurelia-kendoui-plugin,JavaScript
42789514,4,JMRI/JMRI,Java
41881900,548,Microsoft/vscode,TypeScript
46891997,8,brave/browser-laptop,JavaScript
12256376,265,driftyco/ionic,TypeScript
38492041,3,ourcities/rebu-client,JavaScript
7691631,176,docker/docker,Go
32339800,1,stleary/JSON-Java-unit-test,Java
26142080,9,desihub/desispec,Python
47132986,1,alphagov/paas-docker-cloudfoundry-tools,Ruby
36960293,36,opencontainers/runtime-spec,Go
7825571,1,cloudfoundry/gorouter,Go
30269686,5,prometheus/collectd_exporter,Go
43604163,2,inveniosoftware/invenio-assets,Python
63537249,31,facebookincubator/create-react-app,JavaScript
20789757,13,ManageIQ/manageiq,Ruby
5108051,5,opencv/opencv,C++
21347346,16,NativeScript/nativescript-cli,TypeScript
18399889,1,willthames/ansible-inventory-grapher,Python
5786013,10,mknx/smarthome,Python
26516210,17,certbot/certbot,Python
35552300,8,ros2/rmw_fastrtps,C++
15799524,3,jenkinsci/docker-plugin,Java
64204546,1,styled-components/comparison,JavaScript
321278,39,npm/npm,JavaScript
1701384,5,ufz/ogs,C++
15443575,1,sensebox/openSenseMap,JavaScript
24063576,2,semantic-release/semantic-release,JavaScript
63109541,1,Teradata/covalent,HTML
39487546,46,vector-im/riot-web,JavaScript
16256144,63,RobotLocomotion/drake,C++
57149464,2,redux-autoform/redux-autoform,JavaScript
25997846,1,feross/is-buffer,JavaScript
37240232,1,skv-headless/react-native-scrollable-tab-view,JavaScript
11969507,18,whatwg/html,HTML
6365343,14,opencog/opencog,C++
34678084,7,opencog/atomspace,C++
46964719,2,strongloop/strong-globalize,JavaScript
15881968,1,angular/dgeni,JavaScript
3638964,31,ansible/ansible,Python
28782747,8,dask/dask,Python
9325315,18,strongloop/loopback,JavaScript
39469487,11,spring-cloud/spring-cloud-dataflow,Java
11391151,1,ipython-contrib/Jupyter-notebook-extensions,HTML
5250457,1,att/rcloud,JavaScript
54443617,1,cjlarose/argon2-ffi,JavaScript
1324028,1,assetgraph/assetgraph,JavaScript
1940673,2,assetgraph/assetgraph-builder,JavaScript
41829476,25,conda-forge/staged-recipes,Python
47341961,11,OmniSharp/omnisharp-vscode,TypeScript
47671127,5,PyCQA/pylint,Python
15111821,4,grafana/grafana,Go
54503347,100,opencontainers/image-spec,Go
40806530,1,sindresorhus/np,JavaScript
49295278,2,driftyco/ionic-preview-app,HTML
43003744,3,tur-nr/polymer-redux,HTML
52452207,4,numo-labs/isearch-ui,JavaScript
2203645,17,CocoaPods/CocoaPods,Ruby
20580498,306,kubernetes/kubernetes,Go
2706701,2,sensu-plugins/sensu-plugin,Ruby
15221515,6,inspirehep/inspire-next,Python
14448779,8,astropy/astropy-helpers,Python
23272510,5,kubernetes/heapster,Go
37989511,2,posthtml/posthtml,JavaScript
10707658,2,rom-rb/rom,Ruby
734934,6,pugjs/pug,JavaScript
5312648,8,SciTools/iris,Python
27193779,54,nodejs/node,JavaScript
39006836,3,crowbar/crowbar-ha,Ruby
24412537,1,gemini-testing/gemini-gui,JavaScript
2560988,2,karma-runner/karma,JavaScript
42955150,2,cockroachdb/examples-go,Go
21160389,16,certtools/intelmq,Python
6228403,4,hpcugent/easybuild-easyconfigs,Python
10064545,68,systemjs/systemjs,JavaScript
3195124,3,mperham/sidekiq,Ruby
61736423,22,monterey-framework/monterey,TypeScript
32836701,1,Samsung/GearVRf,C++
26509369,17,coreos/rkt,Go
8135462,20,zenodo/zenodo,Python
44838949,62,apple/swift,C++
1790564,1,handsontable/handsontable,JavaScript
22442668,73,openshift/origin,Go
42926209,5,Microsoft/vscode-vsce,TypeScript
35446456,6,d3/d3-selection,JavaScript
15514912,12,cclib/cclib,Python
8629417,28,mapbox/mapbox-gl-js,JavaScript
24117313,1,logstash-plugins/logstash-output-kafka,Ruby
29099181,14,keybase/client,Go
18055618,8,getgauge/gauge,Go
32707901,1,electron-userland/electron-packager,JavaScript
11803168,1,chalk/ansi-styles,JavaScript
56941978,8,Linuxbrew/brew,Ruby
488514,8,bundler/bundler,Ruby
60374819,15,jupyterlab/jupyterlab,TypeScript
39504796,59,openvstorage/framework,Python
33816473,5,testcontainers/testcontainers-java,Java
31492490,86,NativeScript/NativeScript,TypeScript
12310030,3,couchbase/couchbase-lite-java-core,Java
13049233,5,getnikola/plugins,Python
1362490,19,kennethreitz/requests,Python
22847604,4,rcbops/jenkins-rpc,Python
16554739,11,elastic/beats,Go
59104105,1,HSLdevcom/openaddresses,JavaScript
16243570,1,jekyll/jekyll-sass-converter,Ruby
943149,33,d3/d3,JavaScript
31239705,2,zabawaba99/firego,Go
26567889,7,w3c/media-source,HTML
13220460,6,driftyco/ionic-site,JavaScript
44869078,10,zalmoxisus/redux-devtools-extension,JavaScript
53238813,36,Homebrew/brew,Ruby
41543133,1,mobxjs/mobx-react,JavaScript
42283287,4,developit/preact,JavaScript
16607898,1,drone/drone,Go
50843402,2,firedrakeproject/tsfc,Python
7789923,2,ros/ros,Python
20100867,1,strongloop/loopback-boot,JavaScript
24109199,3,openshift/openshift-ansible,Python
53461525,3,DispatchMe/meteor-mocha-phantomjs,JavaScript
49029588,6,docker/engine-api,Go
33494287,2,phonegap/phonegap-plugin-push,Java
24604008,2,python/typing,Python
7962111,5,pouchdb/pouchdb-server,JavaScript
