Source,Target,Weight
44350607,20580498,3
2504560,10267020,2
16286131,18402447,16
65914086,8514,1
50489089,58331146,2
50489089,47903333,2
50489089,52764346,2
66953538,65843523,2
77648370,23041972,3
12256376,14562056,94
54980593,1446467,10
70202506,53911920,36
42655713,9813732,1
53911920,70202506,52
12256376,67763937,44
11855195,27193779,1
69178967,5894962,1
20580498,54503347,1
17714713,17689377,3
17928207,46297649,19
8745199,3149845,1
7921466,3038937,1
72495579,16752620,2
7693799,71081599,5
67793333,23059575,1
70202506,21641241,4
24195339,20929025,5
51392574,24560307,1
63436679,26987049,1
77385607,28449431,1
67130793,21244924,1
49598840,36960293,19
8454338,1276752,3
35015510,9384267,2
45793760,35640229,1
43679310,47394776,1
20580498,62091339,3
31404632,24560307,4
24474126,3638964,48
4613662,4992906,1
18306152,481872,2
43372569,39504796,2
32164706,34259117,1
70860688,20580498,1
33653601,658518,3
658518,33653601,4
37144575,39487546,7
11672345,18609427,1
41881900,20929025,93
4297273,4874026,1
11391151,33653601,3
2804438,2744972,1
4331833,4331836,5
16286131,20552964,7
18055618,25462659,4
6093316,20929025,27
48337670,15778981,1
10969551,12296490,2
67616103,77648370,75
77648370,67616103,15
51117837,45717250,4
55698731,18150451,3
7691631,31046054,11
17548747,31524768,1
31696383,7053637,20
31696383,24604008,5
37489525,41756998,8
3638964,24474126,18
41881900,60630844,4
68243930,55796146,10
29137950,31492490,2
70253839,26316966,1
23041972,77648370,12
41690044,45687347,1
15257,8514,3
76606588,9384267,2
31746003,5746963,1
72242954,11167738,1
2055965,2006876,1
61739430,20580498,1
3827595,54980593,1
14000045,8514,3
40686014,57333709,23
38130117,20896532,1
20789757,77085298,17
27729926,23357588,1
12256376,78882584,209
26908699,2835111,6
55400726,24195339,1
10062583,19483273,1
41881900,44774566,30
15127462,68402336,3
26057458,501687,3
76388565,16394957,2
9325315,64396357,1
41291958,6543378,4
61421499,61421257,1
43445823,41029840,8
64340188,8745199,1
28017541,4095287,2
43385504,67763937,2
65661776,42283287,1
10230369,23206290,1
16256144,23202451,4
12320895,66981433,2
