Id,Weight,Name,Language
75785147,8,rails/webpacker,Ruby
64479681,2,ckeditor/ckeditor5-list,JavaScript
108533005,1,ckeditor/ckeditor5-alignment,JavaScript
81487759,1,ckeditor/ckeditor5-block-quote,JavaScript
3214406,7,meteor/,JavaScript
109404682,1,graphql-boilerplates/node-graphql-server,JavaScript
47472608,7,felixfontein/acme-certificate,Python
63985235,2,FormidableLabs/victory-native,JavaScript
49286861,24,trufflesuite/ganache-cli,JavaScript
86362151,15,trufflesuite/ganache-core,JavaScript
507775,21,elastic/elasticsearch,Java
92192594,198,yegor256/cactoos,Java
65252,3,jekyll/jekyll,Ruby
38460192,8,FormidableLabs/victory,JavaScript
3638964,37,ansible/,Python
6235174,39,conda/conda,Python
19872456,8,ReactTraining/,JavaScript
9252268,15,w3c/csswg-drafts,HTML
79947965,1,rit-sse/OneRepoToRuleThemAll,JavaScript
29620400,2,xonsh/xonsh,Python
112459584,3,philippkraft/cmf,C++
20789757,21,ManageIQ/,Ruby
24195339,44,angular/angular,TypeScript
21394954,11,wildfly/wildfly-core,Java
17728164,565,hashicorp/terraform,Go
82572869,3,kubernetes-incubator/external-storage,Go
33015583,6,keras-team/keras,Python
39469487,40,spring-cloud/spring-cloud-dataflow,Java
3386088,7,NixOS/nix,C++
105022332,3,coredns/ci,Go
41829476,9,conda-forge/staged-recipes,Python
62091339,14,kubernetes/kops,Go
41881900,322,Microsoft/,TypeScript
12888993,37,home-assistant/,Python
7789923,3,ros/ros,Python
39766308,3,triplea-game/triplea,Java
98690441,2,projectriff/riff,Go
88211060,17,containerd/cri,Go
18326574,4,cloudify-cosmo/cloudify-manager,Python
108840022,2,moul/sshportal,Go
40841283,4,fecgov/fec-cms,HTML
46382074,3,AtomLinter/linter-docker,JavaScript
64417577,3,gslab-econ/gslab_python,Python
5298790,11,PX4/Firmware,C++
26337322,22,rancher/,Go
16557832,3,scitran/core,Python
95970824,1,FullHuman/purgecss,JavaScript
65499703,2,flywheel-io/sdk,Go
97380797,1,FullHuman/purgecss-webpack-plugin,JavaScript
667006,5,videojs/video.js,JavaScript
57333709,43,kubernetes/test-infra,Go
37144575,3,matrix-org/matrix-react-sdk,JavaScript
35998691,5,electron-userland/electron-builder,TypeScript
20580498,136,kubernetes/,Go
45148983,18,tidyverse/tibble,HTML
107591425,1,AEB-labs/graphql-transformer,TypeScript
1446467,28,pypa/pip,Python
42009758,18,MetaMask/metamask-extension,JavaScript
791477,17,nipy/nipype,Python
99251094,18,elastic/apm-server,Go
102137661,4,uber/NullAway,Java
55796146,15,LLK/scratch-vm,JavaScript
39093389,3,Azure/azure-rest-api-specs,JavaScript
47394776,8,lerna/lerna,JavaScript
33653601,9,jupyter/notebook,JavaScript
97463561,2,graphql-cli/graphql-cli,TypeScript
109827462,4,cloudify-cosmo/cloudify-manager-install,Python
4989235,4,openstreetmap/iD,JavaScript
58825797,12,openhab/openhab-docs,HTML
18327612,2,cloudify-cosmo/cloudify-dsl-parser,Python
47341961,12,OmniSharp/omnisharp-vscode,TypeScript
68402336,7,streamlink/,Python
88426738,20,pydata/sparse,Python
56354042,6,spdx/license-list-data,HTML
16416867,15,mozilla/addons-server,Python
26628954,2,vert-x3/vertx-web,Java
102331882,1,libris/xl_auth,Python
12256376,16,ionic-team/ionic,TypeScript
