Source,Target,Weight
64479681,28972890,2
108533005,28972890,1
81487759,28972890,1
47472608,3638964,7
63985235,38460192,2
49286861,86362151,15
507775,764708,1
507775,21394954,1
79947965,40217027,1
29620400,16241224,1
17728164,93446075,33
82572869,21704134,1
33015583,45717250,2
62091339,20580498,8
41881900,20929025,120
12888993,15123510,1
7789923,5918619,1
98690441,20580498,1
88211060,20580498,6
65252,11980558,2
18326574,109827462,2
108840022,69914159,1
40841283,23116127,2
64417577,64347604,3
5298790,44974513,7
95970824,97380797,1
65499703,16557832,2
97380797,95970824,1
667006,70169359,4
57333709,53954979,1
37144575,39487546,3
35998691,9384267,1
107591425,38307428,1
42009758,86362151,2
42009758,47658358,4
791477,53175327,3
99251094,16554739,17
102137661,38488726,3
47394776,27193779,1
17728164,93444615,372
33653601,658518,3
109827462,18326574,3
4989235,641512,2
58825797,15778981,5
18327612,18326574,1
88426738,28710753,2
26628954,18997610,2
102331882,997338,1
17728164,93446117,1
97890025,20490559,1
101408117,53077478,84
596892,997338,9
9503997,27193779,1
107884371,52281283,1
52281283,88913859,3
36753839,321278,1
51117837,45717250,5
58535706,24031839,1
22855240,93446042,1
4802269,481872,1
100542220,80783122,1
3618133,9252268,5
447184,238986,1
74916356,33653601,1
17728164,93446042,66
75629834,6093316,1
48181728,24998719,1
6093316,20929025,12
6296790,66030306,5
4253587,32652828,1
64317924,62367558,1
3678731,36891867,2
109059304,29028775,4
20789757,87439629,1
46089560,23096959,2
100562563,111995605,1
45981801,38064932,1
60161495,24063576,1
31492490,29675401,9
90312643,61140006,1
20773773,27729880,2
38064932,45981801,1
23272510,20580498,1
111030670,111033629,2
57333709,112647343,2
45148983,1147463,2
30248289,16416867,1
8966356,93444615,2
86362151,49286861,8
79269625,49286861,30
59787605,29099181,2
80786957,38066334,1
49286861,47658358,6
7910045,66146807,1
5481861,75642389,1
44694442,18055618,7
63595359,65914086,6
41359055,80149262,4
67114199,10312708,1
88426738,37489525,2
11969507,8071542,4
103442898,1385122,2
39469487,96455695,4
28964450,85178129,2
46155786,3228505,6
83786054,16256144,6
21243212,11061773,1
28782747,858127,1
38764029,60648293,2
56942570,53238813,1
13221727,4704710,1
24063576,40793484,2
15045751,10247874,8
30237090,52804695,1
100531096,85083756,1
85083756,100531096,1
17928207,33634359,3
5152285,4694994,1
57939112,20580498,10
42650211,791477,1
49213884,68243930,3
72495579,16752620,1
91553810,24195339,8
53954979,112655189,22
1864233,1864194,12
10097543,4859310,10
31211061,23992530,1
1739767,16147933,1
60344592,41724213,1
30969188,36535156,2
8685799,28710753,3
5532320,30035812,1
63882194,20580498,1
19989121,2948043,1
20773773,221862,1
52113921,10270250,1
22376054,3301400,2
66380570,37038121,3
19799491,45712305,3
88913859,52281283,2
111737980,23096959,1
16180304,36371959,11
87439629,20789757,3
5532320,7804910,6
1962219,37796696,2
56353740,20580498,1
88951970,15062869,2
2130740,9384267,1
25427817,99598595,1
39487546,37144575,16
18875357,7711472,1
29849956,5777189,1
42009758,49286861,1
101107622,27193779,1
20929025,108647175,1
41724213,20929025,1
87849371,20785986,2
15015736,60735171,1
15778981,19753195,8
9384267,8479951,8
31211061,53574877,1
8604178,10097543,5
103240029,11778024,2
56237879,43760104,2
19939216,41291958,2
112592728,35297180,1
46433937,88035671,3
3678731,76603199,4
36891867,88288940,25
237159,27193779,1
28782747,13221727,6
11778024,23937466,1
114368847,65914086,2
4694994,5152285,1
17928207,46297649,4
60874241,51951003,1
20343475,27729880,4
3721224,41881900,2
11159552,45633504,46
26726495,56451112,3
63537249,15062869,2
16563587,48004987,4
24063576,39501938,7
70403530,41881900,1
65914086,63595359,2
112519797,2649031,1
17728164,93446037,15
51164398,49662222,1
43490815,11969507,1
21347346,31492490,3
112150776,65252,1
2242705,1446467,1
1725199,40892817,1
88288940,24195339,6
16316451,27729880,1
109657262,24063576,6
90675549,65214191,8
5811958,23358356,1
35640229,20929025,1
105590837,99263715,1
99263715,105590837,3
78572774,46297649,10
20773773,101107622,1
16563587,11225014,7
658518,33653601,3
109045956,94506832,1
83818122,20580498,1
72460646,39469487,2
11225014,27729907,1
17803236,23096959,1
45694880,39469487,3
32760696,56354042,2
44123296,44123252,1
41861768,41881900,2
39469487,45694880,5
60165924,42728835,5
56342508,82920852,2
79269625,86362151,57
52630616,93657402,2
20580498,7691631,4
59982630,111184113,6
44350305,26142080,1
26190823,20580498,1
7508411,17286587,3
88919627,17254728,1
26109545,70202506,1
4191817,19542768,1
47841554,3638964,1
20891076,20891354,1
27110089,73819459,1
13221727,1385122,1
5532320,51951003,2
100209894,7639232,1
11180687,94304517,1
4787269,2081289,2
7691631,31046054,6
7548246,9252268,1
57333709,72891330,1
98464783,99148158,1
16256144,20773773,6
105315732,49597898,2
98821272,15062869,1
9385519,29455960,1
6235174,7691631,1
57333709,56353740,1
16563587,27729907,4
57333709,44350607,1
108458380,43900403,2
825360,8514,1
68024288,11225014,1
5532320,67728267,5
83828178,21233191,3
45166790,45166823,1
27564424,16479108,1
7804910,5532320,1
62117812,6934395,1
68842993,81877393,1
67301306,7512484,1
68325864,62954915,1
76520414,41881900,1
84188481,51029999,1
6093316,40508605,1
7386799,52171557,6
11476546,5591332,1
11476546,15884459,2
11476546,13221727,1
24898648,37200012,3
102448204,116681427,3
28449431,23061798,15
43723161,92313258,1
4859310,32443143,5
107085501,65600975,1
103351074,70617656,1
101938106,40522844,1
10097543,8604178,1
36960321,36960293,3
38002690,70957320,3
44838949,44838862,119
74175805,43723161,2
27729880,27729926,3
106462765,3489194,1
102674699,69495170,1
62894057,20773773,2
35866694,3214406,1
58842707,3638964,1
65600975,107085501,1
24031839,58535706,2
102448204,79532651,2
76603199,3678731,4
17689377,321278,1
94568655,51193526,1
110538699,36960321,1
103303974,17373313,1
90312643,41881900,1
76697406,60374819,2
116314132,71700351,1
20773773,16256144,1
12888993,66539025,1
83559947,82846397,3
839336,614070,1
8629417,16286131,9
22855240,39093389,1
26181278,27729880,1
26181278,27729926,1
51710581,3604157,1
29099181,9384267,3
7833168,107422373,2
64974719,11225014,8
3351871,36781769,5
69495170,6093316,2
51769689,99598595,1
1811965,37796696,1
73281406,30236586,1
3678731,21779020,1
3678731,5839692,5
115540161,7613257,1
843222,47671127,2
63537249,71966177,4
17689377,81598961,1
19711416,47671127,1
27716248,38208684,1
72495579,72980210,2
112014611,109657262,1
47671127,47649855,5
32760696,107706265,1
110027931,29629333,1
110027931,63882194,1
71081599,36891867,1
35640229,44700172,1
43490815,5777189,1
89909577,52773157,1
2045207,6296790,2
54980593,1446467,3
53077478,101408117,16
2375854,2081289,1
39111193,20929025,1
77035252,16471584,5
15062869,321278,1
65212856,41881900,3
51478266,20580498,8
57239556,49016322,1
17714713,17689377,1
11969507,14291040,1
40217027,79947965,1
41881900,47341961,6
18399519,15510233,2
48181728,22844864,1
4704710,1385122,2
71350250,12877731,2
48904888,13258039,1
91564230,51661593,15
3638964,10247874,3
10247874,3638964,1
88035671,46433937,1
22844864,24998719,2
78498562,75104123,1
51327024,41766002,4
2045207,7508411,1
21953642,21436816,3
88471725,88211060,1
52083467,10097543,3
49016322,36891867,1
16316451,20343475,1
33742985,20929025,1
35978199,6093316,1
73823302,6838921,2
68243930,59059605,5
53369484,54131052,1
61771898,70746484,4
86362151,79269625,1
