Weight,Name
1,jruby/jruby-openssl
3,containernetworking/plugins
7,StackStorm/st2
7,neos/neos-development-collection
3,joyent/conch-shell
2,beancount/smart_importer
2,qgis/QGIS
1,eclipse/leshan
1,Unvanquished/Unvanquished
1,dry-rb/dry-validation
2,stevenleeg/geemusic
1,boostorg/spirit
4,eshaham/israeli-bank-scrapers
2,mozilla-lockbox/lockbox-extension
4,hammer-io/yggdrasil
3,decred/politeiagui
1,openhealthcare/opal
5,yunity/karrot-frontend
5,utexas-bwi/bwi
1,ESGI-Ideal/Ideal-WebApp
2,hrydgard/ppsspp
3,videojs/videojs-contrib-ads
1,hanami/model
3,sul-dlss/preservation_robots
2,mozilla/unity-webvr-export
6,sparklemotion/nokogiri
1,rylnd/module-pattern-typescript-demo
3,uswds/uswds
1,graphql-python/graphql-core
4,wso2/product-apim
2,VCVRack/community
2,minetest/minetest
4,sympy/sympy
3,zapier/zapier-platform-cli
1,NAL-i5K/genomics-workspace
4,jbarlow83/OCRmyPDF
1,cofacts/rumors-line-bot
8,sweetalert2/sweetalert2
1,square/picasso
1,SkygearIO/skygear-server
1,kach/nearley
15,NuGet/Home
2,keyboardio/Kaleidoscope-Hardware-Model01
5,ChickenKyiv/database-visuals
1,jaap-karssenberg/zim-desktop-wiki
1,Marginal/EDMarketConnector
1,accounts-js/rest
7,apache/incubator-dubbo
1,sul-dlss/preservation_catalog
4,zero-os/0-stor
3,pothosware/SoapyRemote
3,puppetlabs/puppet
1,dhs-ncats/pshtt
4,simpeg/simpeg
4,avelino/awesome-go
2,locationtech/jts
5,openshift/ansible-service-broker
2,mozilla/normandy
9,PowerShell/PowerShellGet
9,wso2/product-is
1,lnls-sirius/machine-applications
5,samvera/hyrax
2,Tendrl/commons
1,ros/urdf
1,PrinceOfAmber/Cyclic
3,hyperledger/composer
1,apache/incubator-skywalking-ui
11,LonamiWebs/Telethon
8,apache/incubator-mxnet
3,plotly/dash-core-components
5,getredash/
2,w3c/wot
4,geneontology/amigo
6,threefoldfoundation/tfchain
2,consul/consul
3,ilios/frontend
1,UbiquityRobotics/ubiquity_main
1,orange-cloudfoundry/cassandra-boshrelease
4,JeffreyWay/laravel-mix
3,LiskHQ/lisk-explorer
3,curationexperts/iris
17,dotnet/core-setup
3,axios/axios
1,uber/prototool
14,hbz/oerworldmap-ui
3,clearmatics/mobius
3,hpk42/muacrypt
5,SublimeLinter/SublimeLinter
2,Slicer/Slicer
5,pagarme/pilot
2,benbalter/licensee
6,ros-industrial/kuka_experimental
1,jubatus/jubatus_core
1,GlPortal/glPortal
1,iodide-project/iodide-examples
5,Azure/autorest.typescript
15,sw360/sw360portal
2,wesnoth/wesnoth
10,carpentries/styles
2,json-ld/json-ld.org
9,xoseperez/espurna
1,mozilla/hubs
12,dependabot/dependabot-core
1,ca-cwds/intake_api
6,owncloud/client
1,alipay/sofa-rpc
3,OpenShot/openshot-qt
1,thoughtbot/factory_bot_rails
1,rmbolger/Posh-ACME
2,RADAR-base/radar-commons-android
2,GolosChain/golos-js
1,tc39/proposal-flatMap
5,supercollider/supercollider
3,votca/tools
3,mumuki/mumuki-gobstones-runner
4,dunbarcyber/cyphon
7,lynndylanhurley/devise_token_auth
2,restify/node-restify
3,ahaselsteiner/viroconweb
3,getsentry/sentry
4,MDAnalysis/mdanalysis
3,psi4/psi4
1,TestArmada/magellan-nightwatch-plugin
2,OCA/website-cms
5,feelpp/toolbox
2,nextcloud/passman
2,adaptlearning/adapt_authoring
1,ipfs/js-datastore-level
2,dojo/cli-build-app
4,zeppelinos/zos-cli
1,opensim-org/opensim-models
3,unee-t/frontend
1,interledgerjs/ilp-plugin-xrp-asym-server
7,datalad/datalad
1,kadrlica/ugali
6,paper-trail-gem/paper_trail
1,theupdateframework/tuf
4,oracc/elastic-search-poc
4,wpilibsuite/allwpilib
58,VirtualFlyBrain/geppetto-vfb
5,phyloref/curation-tool
3,ReactionMechanismGenerator/RMG-database
1,reshape/reshape
1,fabric8io/gofabric8
2,opendatakit/website
12,idaholab/moose
3,freeCodeCamp/learn
1,payara/Payara
10,canoo/dolphin-platform
2,LuxCoreRender/BlendLuxCore
2,AlexsLemonade/refinebio-frontend
2,stencila/stencila
2,Rayhane-mamah/Tacotron-2
1,fossasia/susi_skill_cms
2,zeit/serve
1,scifio/scifio
4,air1one/air1one.github.io
1,rdfhdt/hdt-java
2,graphql-cli/graphql-cli
1,reactive-firewall/PiAP-python-tools
2,Azure/open-service-broker-azure
2,TrinityCore/
5,keyboardio/Kaleidoscope-OneShot
8,rstudio/keras
5,rstudio/leaflet
1,TripleParity/docks-ui
1,pulibrary/pul_solr
1,neo4j-contrib/neo4j-jdbc
3,Kozea/WeasyPrint
11,magento-research/pwa-devdocs
2,kubic-project/velum
5,IATI/IATI-Stats
1,DMPRoadmap/roadmap
1,w3c/reporting
2,bigchaindb/bigchaindb
4,tcbrindle/NanoRange
2,CompuIves/codesandbox-client
2,OpenMined/PySyft
2,mozilla/web-ext
1,opsdroid/opsdroid
1,inveniosoftware/invenio-search
2,park-bench/gpgmailer
1,MSFREACH/msf-reach-schema
2,OCA/server-tools
3,openvstorage/framework
1,mozilla-iot/gateway
2,ocornut/imgui
1,pulibrary/princeton_ansible
2,mcous/gerber-plotter
2,pymc-devs/pymc3
3,NodeBB/
3,zxing-js/ngx-scanner
7,streamlink/
2,fin-hypergrid/core
1,datacite/sashimi
2,Project-ARTist/dexterous
2,gauteh/gmailieer
3,istanbuljs/nyc
1,bazelbuild/rules_k8s
